reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,primary_benefit_source,prefill_saving_delta,shared_kv_read_reduction_delta,placement_mesh_delta,shared_kv_placement_delta,apc_affinity_jct_delta,pat_affinity_jct_delta,jct_p99_delta_vs_apc,metric,delta
8,512,128,32,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020902,shared_kv_placement_delta,0.0
8,512,128,32,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020897,prefill_saving_delta,1.0
8,512,128,32,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020897,shared_kv_read_reduction_delta,0.0
8,512,128,32,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020897,placement_mesh_delta,0.0
8,512,128,32,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020897,shared_kv_placement_delta,0.0
8,512,128,32,16,2.0,mixed_benefit,1.0,0.0,2147483648.0,450971566080.0,-0.7985843161636953,-0.7983462186353637,0.9879943520841122,prefill_saving_delta,1.0
8,512,128,32,16,2.0,mixed_benefit,1.0,0.0,2147483648.0,450971566080.0,-0.7985843161636953,-0.7983462186353637,0.9879943520841122,shared_kv_read_reduction_delta,0.0
8,512,128,32,16,2.0,mixed_benefit,1.0,0.0,2147483648.0,450971566080.0,-0.7985843161636953,-0.7983462186353637,0.9879943520841122,placement_mesh_delta,2147483648.0
8,512,128,32,16,2.0,mixed_benefit,1.0,0.0,2147483648.0,450971566080.0,-0.7985843161636953,-0.7983462186353637,0.9879943520841122,shared_kv_placement_delta,450971566080.0
8,512,128,32,16,16.0,mixed_benefit,1.0,0.0,2147483648.0,450971566080.0,-0.7985843161636954,-0.7983462186353637,0.9879943520841122,prefill_saving_delta,1.0
8,512,128,32,16,16.0,mixed_benefit,1.0,0.0,2147483648.0,450971566080.0,-0.7985843161636954,-0.7983462186353637,0.9879943520841122,shared_kv_read_reduction_delta,0.0
8,512,128,32,16,16.0,mixed_benefit,1.0,0.0,2147483648.0,450971566080.0,-0.7985843161636954,-0.7983462186353637,0.9879943520841122,placement_mesh_delta,2147483648.0
8,512,128,32,16,16.0,mixed_benefit,1.0,0.0,2147483648.0,450971566080.0,-0.7985843161636954,-0.7983462186353637,0.9879943520841122,shared_kv_placement_delta,450971566080.0
8,512,128,512,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879545,prefill_saving_delta,1.0
8,512,128,512,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879545,shared_kv_read_reduction_delta,0.0
8,512,128,512,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879545,placement_mesh_delta,0.0
8,512,128,512,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879545,shared_kv_placement_delta,0.0
8,512,128,512,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879547,prefill_saving_delta,1.0
8,512,128,512,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879547,shared_kv_read_reduction_delta,0.0
8,512,128,512,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879547,placement_mesh_delta,0.0
8,512,128,512,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9682065684879547,shared_kv_placement_delta,0.0
8,512,128,512,16,2.0,mixed_benefit,1.0,0.0,2147483648.0,7215545057280.0,-0.7987908639357787,-0.7987754267756206,0.9978252780732643,prefill_saving_delta,1.0
8,512,128,512,16,2.0,mixed_benefit,1.0,0.0,2147483648.0,7215545057280.0,-0.7987908639357787,-0.7987754267756206,0.9978252780732643,shared_kv_read_reduction_delta,0.0
8,512,128,512,16,2.0,mixed_benefit,1.0,0.0,2147483648.0,7215545057280.0,-0.7987908639357787,-0.7987754267756206,0.9978252780732643,placement_mesh_delta,2147483648.0
8,512,128,512,16,2.0,mixed_benefit,1.0,0.0,2147483648.0,7215545057280.0,-0.7987908639357787,-0.7987754267756206,0.9978252780732643,shared_kv_placement_delta,7215545057280.0
8,512,128,512,16,16.0,mixed_benefit,1.0,0.0,2147483648.0,7215545057280.0,-0.7987908639357788,-0.7987754267756206,0.9978252780732643,prefill_saving_delta,1.0
8,512,128,512,16,16.0,mixed_benefit,1.0,0.0,2147483648.0,7215545057280.0,-0.7987908639357788,-0.7987754267756206,0.9978252780732643,shared_kv_read_reduction_delta,0.0
8,512,128,512,16,16.0,mixed_benefit,1.0,0.0,2147483648.0,7215545057280.0,-0.7987908639357788,-0.7987754267756206,0.9978252780732643,placement_mesh_delta,2147483648.0
8,512,128,512,16,16.0,mixed_benefit,1.0,0.0,2147483648.0,7215545057280.0,-0.7987908639357788,-0.7987754267756206,0.9978252780732643,shared_kv_placement_delta,7215545057280.0
8,8192,128,32,2,2.0,mixed_benefit,1.0,0.5831134564707016,1079110533120.0,0.0,0.0,0.0,0.9631037482786986,prefill_saving_delta,1.0
8,8192,128,32,2,2.0,mixed_benefit,1.0,0.5831134564707016,1079110533120.0,0.0,0.0,0.0,0.9631037482786986,shared_kv_read_reduction_delta,0.5831134564707016
8,8192,128,32,2,2.0,mixed_benefit,1.0,0.5831134564707016,1079110533120.0,0.0,0.0,0.0,0.9631037482786986,placement_mesh_delta,1079110533120.0
8,8192,128,32,2,2.0,mixed_benefit,1.0,0.5831134564707016,1079110533120.0,0.0,0.0,0.0,0.9631037482786986,shared_kv_placement_delta,0.0
8,8192,128,32,2,16.0,mixed_benefit,1.0,0.5831134564707016,1079110533120.0,0.0,0.0,-0.0902839337675307,0.963103748278699,prefill_saving_delta,1.0
8,8192,128,32,2,16.0,mixed_benefit,1.0,0.5831134564707016,1079110533120.0,0.0,0.0,-0.0902839337675307,0.963103748278699,shared_kv_read_reduction_delta,0.5831134564707016
8,8192,128,32,2,16.0,mixed_benefit,1.0,0.5831134564707016,1079110533120.0,0.0,0.0,-0.0902839337675307,0.963103748278699,placement_mesh_delta,1079110533120.0
8,8192,128,32,2,16.0,mixed_benefit,1.0,0.5831134564707016,1079110533120.0,0.0,0.0,-0.0902839337675307,0.963103748278699,shared_kv_placement_delta,0.0
8,8192,128,32,16,2.0,mixed_benefit,1.0,0.46029814420904475,16.623849188952214,0.0,-0.7986803993736292,-0.8172434962863232,0.0,prefill_saving_delta,1.0
8,8192,128,32,16,2.0,mixed_benefit,1.0,0.46029814420904475,16.623849188952214,0.0,-0.7986803993736292,-0.8172434962863232,0.0,shared_kv_read_reduction_delta,0.46029814420904475
8,8192,128,32,16,2.0,mixed_benefit,1.0,0.46029814420904475,16.623849188952214,0.0,-0.7986803993736292,-0.8172434962863232,0.0,placement_mesh_delta,16.623849188952214
