scope_id,chosen_policy,predicted_apc_jct_ms,predicted_pat_jct_ms,predicted_waferagent_jct_ms,opportunity_score,reason,baseline,arrival_rate_jobs_per_s,effective_run_policy,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job
sha256:9077088861b9954352439458582d2cbb418bc2710f4cc3b35f55546715f5f1ab,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:9c7c26ebfca3349322579e7a3c6b094ccdc8078c8fae424f1e0bb568530e0af5,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:c990c5fa2c824cc7158dc9b6806bc50b418b9327e2f66c724784f19520348193,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:58c116254dcde802c9ef3c44e829356371d1351c04907a984cf83c1e4bff3518,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:22f584357911940e19269d92cd9d59434a69292d8ad999783b18ad50aa236c48,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:7ab234decb6ddd2ced2152e7e80bf434b4007d6e9a8935e4072408af96959329,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:000a0ebdf01aba04cf398dd1cd618e5c1cd21f7a59cdbf1b13dd16b26a9381d8,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:bb81c6f740664976703d6141a376acea220a6781216f70fc7940b296bd924f8f,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,128,32,2
sha256:f17501de9955dec4187433bf85cdcf59e9c92d86fa21293f93ae8f030eaf8105,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,128,32,2
sha256:bd6ce3a57b281ddc1670364a0a35d028f60af8f154888287cb20ac5a1d45730a,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,128,32,2
sha256:1f907dca40e7e61d0a0f6f8a9cac4abcdb3da1b5b925eaf26dc142e5ee69f3a7,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,128,32,2
sha256:bd4d8a86cecec63dc382742f5ab83ec2c02abfd0568dd8d1224e3c8f4db8b97b,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,128,32,2
sha256:a06fb07653294dc9f0ba92bb9840dff9b40ad4ed434e8a328633127a10299539,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,16.0,waferagent_latency_safe,1,512,128,32,2
