mode,shared_prefix_tokens,private_tokens,num_agents,heads,head_dim,device,dtype,exact_merge,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_mad_ms,valid_reps,memory_bytes_estimated,shared_read_bytes_estimated,max_abs_error,oom,outlier_count,latency_ms,independent_latency_ms,independent_memory_bytes,latency_speedup,read_byte_reduction_ratio,reps,warmup_reps
cohort_attention,512,1024,1,28,128,cuda:1,float16,True,0.11683200299739838,0.1206464022397995,0.12442559763789177,0.001024000346660614,27,7340032.0,7340032.0,0.0,0,3,0.11683200299739838,0.1364319995045662,7340032.0,1.1677622227156739,0.0,30,10
cohort_attention,512,1024,2,28,128,cuda:1,float16,True,0.1308480054140091,0.1345439985394478,0.14175488650798798,0.0018239989876747131,28,7340032.0,7340032.0,0.0,0,2,0.1308480054140091,0.21836800128221512,14680064.0,1.668867634560334,0.5,30,10
cohort_attention,512,1024,4,28,128,cuda:1,float16,True,0.13020800054073334,0.1375744014978409,0.13899519503116609,0.001440003514289856,29,7340032.0,7340032.0,0.0,0,1,0.13020800054073334,0.37964800000190735,29360128.0,2.9157040921086947,0.75,30,10
cohort_attention,512,1024,8,28,128,cuda:1,float16,True,0.13072000443935394,0.1357824057340622,0.13899263501167297,0.0013440102338790894,29,7340032.0,7340032.0,0.0,0,1,0.13072000443935394,0.7021120190620422,58720256.0,5.371113794505562,0.875,30,10
cohort_attention,512,1024,16,28,128,cuda:1,float16,True,0.13443199545145035,0.14116160124540328,0.14275327920913697,0.0028640031814575195,30,7340032.0,7340032.0,0.0,0,0,0.13443199545145035,1.3376800417900085,117440512.0,9.950607645879266,0.9375,30,10
cohort_attention,2048,64,1,28,128,cuda:1,float16,True,0.11644800007343292,0.1231359988451004,0.12354944199323654,0.0015679970383644104,29,29360128.0,29360128.0,0.0,0,1,0.11644800007343292,0.13785600662231445,29360128.0,1.183841770879547,0.0,30,10
cohort_attention,2048,64,2,28,128,cuda:1,float16,True,0.12716799974441528,0.13441599458456038,0.13764160498976707,0.002111993730068207,30,29360128.0,29360128.0,0.0,0,0,0.12716799974441528,0.21827200055122375,58720256.0,1.7164066509649523,0.5,30,10
cohort_attention,2048,64,4,28,128,cuda:1,float16,True,0.12705600261688232,0.13159359693527223,0.13585376098752022,0.0017599985003471375,30,29360128.0,29360128.0,0.0,0,0,0.12705600261688232,0.37958401441574097,117440512.0,2.987533108217781,0.75,30,10
cohort_attention,2048,64,8,28,128,cuda:1,float16,True,0.125791996717453,0.12993279993534088,0.13296768128871916,0.001247994601726532,29,29360128.0,29360128.0,0.0,0,1,0.125791996717453,0.6990079879760742,234881024.0,5.556855811313236,0.875,30,10
cohort_attention,2048,64,16,28,128,cuda:1,float16,True,0.12828800082206726,0.13534079492092133,0.1372390365600586,0.0017919987440109253,29,29360128.0,29360128.0,0.0,0,1,0.12828800082206726,1.3226560354232788,469762048.0,10.310052592196637,0.9375,30,10
cohort_attention,2048,256,1,28,128,cuda:1,float16,True,0.11529599875211716,0.11998079642653466,0.12134720012545586,0.0012799985706806183,30,29360128.0,29360128.0,0.0,0,0,0.11529599875211716,0.13624000549316406,29360128.0,1.1816542375080672,0.0,30,10
cohort_attention,2048,256,2,28,128,cuda:1,float16,True,0.1266240030527115,0.13155199587345123,0.13493631601333617,0.0014719963073730469,29,29360128.0,29360128.0,0.0,0,1,0.1266240030527115,0.21876800060272217,58720256.0,1.7276977139291092,0.5,30,10
cohort_attention,2048,256,4,28,128,cuda:1,float16,True,0.12668800354003906,0.13080959916114807,0.1339532780647278,0.001216009259223938,29,29360128.0,29360128.0,0.0,0,1,0.12668800354003906,0.3806400001049042,117440512.0,3.00454651954954,0.75,30,10
cohort_attention,2048,256,8,28,128,cuda:1,float16,True,0.1279359981417656,0.13120000660419465,0.1362438355386257,0.002159997820854187,30,29360128.0,29360128.0,0.0,0,0,0.1279359981417656,0.6976000070571899,234881024.0,5.452726497542787,0.875,30,10
cohort_attention,2048,256,16,28,128,cuda:1,float16,True,0.1276800036430359,0.13193280398845672,0.13346367955207825,0.0013599991798400879,28,29360128.0,29360128.0,0.0,0,2,0.1276800036430359,1.3231680393218994,469762048.0,10.3631579070218,0.9375,30,10
cohort_attention,2048,1024,1,28,128,cuda:1,float16,True,0.11750400066375732,0.12110719829797745,0.12374016225337982,0.001631997525691986,29,29360128.0,29360128.0,0.0,0,1,0.11750400066375732,0.13593600690364838,29360128.0,1.1568627973155996,0.0,30,10
cohort_attention,2048,1024,2,28,128,cuda:1,float16,True,0.12756800651550293,0.13395840674638748,0.13946463868021966,0.0021759942173957825,30,29360128.0,29360128.0,0.0,0,0,0.12756800651550293,0.2186879962682724,58720256.0,1.7142855974761662,0.5,30,10
cohort_attention,2048,1024,4,28,128,cuda:1,float16,True,0.1276479959487915,0.13079040348529816,0.13349887788295745,0.0012159943580627441,29,29360128.0,29360128.0,0.0,0,1,0.1276479959487915,0.3805920034646988,117440512.0,2.981574451175722,0.75,30,10
cohort_attention,2048,1024,8,28,128,cuda:1,float16,True,0.12823999673128128,0.13711359351873398,0.1406025567650795,0.0023040026426315308,30,29360128.0,29360128.0,0.0,0,0,0.12823999673128128,0.6995199918746948,234881024.0,5.454772377610819,0.875,30,10
cohort_attention,2048,1024,16,28,128,cuda:1,float16,True,0.1289920061826706,0.1331679940223694,0.13530463680624963,0.001552000641822815,30,29360128.0,29360128.0,0.0,0,0,0.1289920061826706,1.3272480368614197,469762048.0,10.289382079862005,0.9375,30,10
cohort_attention,8192,64,1,28,128,cuda:1,float16,True,0.14528000354766846,0.1470848023891449,0.1482873660326004,0.0007999986410140991,27,117440512.0,117440512.0,0.0,0,3,0.14528000354766846,0.15196800231933594,117440512.0,1.0460352327116584,0.0,30,10
cohort_attention,8192,64,2,28,128,cuda:1,float16,True,0.1570879966020584,0.15833599865436554,0.16038399562239647,0.0008480027318000793,26,117440512.0,117440512.0,0.0,0,4,0.1570879966020584,0.24636800587177277,234881024.0,1.5683439295230306,0.5,30,10
cohort_attention,8192,64,4,28,128,cuda:1,float16,True,0.16291199624538422,0.1653439998626709,0.16737024247646332,0.0007999986410140991,29,117440512.0,117440512.0,0.0,0,1,0.16291199624538422,0.43356800079345703,469762048.0,2.6613632561496607,0.75,30,10
cohort_attention,8192,64,8,28,128,cuda:1,float16,True,0.18060800433158875,0.18227839469909668,0.18472319722175598,0.0008639991283416748,29,117440512.0,117440512.0,0.0,0,1,0.18060800433158875,0.8089759945869446,939524096.0,4.479181294211625,0.875,30,10
cohort_attention,8192,64,16,28,128,cuda:1,float16,True,0.20625600218772888,0.20790719836950303,0.20811072513461112,0.0007519945502281189,28,117440512.0,117440512.0,0.0,0,2,0.20625600218772888,1.5707839727401733,1879048192.0,7.615700663636864,0.9375,30,10
cohort_attention,8192,256,1,28,128,cuda:1,float16,True,0.14511999487876892,0.14789119958877564,0.14979455530643462,0.0011519938707351685,29,117440512.0,117440512.0,0.0,0,1,0.14511999487876892,0.150751993060112,117440512.0,1.0388092501384663,0.0,30,10
cohort_attention,8192,256,2,28,128,cuda:1,float16,True,0.15619200468063354,0.15932160019874572,0.16152960062026978,0.001248002052307129,27,117440512.0,117440512.0,0.0,0,3,0.15619200468063354,0.2454719990491867,234881024.0,1.5716041262874136,0.5,30,10
cohort_attention,8192,256,4,28,128,cuda:1,float16,True,0.1619199961423874,0.16300159692764282,0.16404095739126207,0.000639989972114563,27,117440512.0,117440512.0,0.0,0,3,0.1619199961423874,0.4326080083847046,469762048.0,2.67173924586981,0.75,30,10
cohort_attention,8192,256,8,28,128,cuda:1,float16,True,0.1786239966750145,0.1814176008105278,0.18371615678071976,0.0011999979615211487,28,117440512.0,117440512.0,0.0,0,2,0.1786239966750145,0.8112480044364929,939524096.0,4.541651847105761,0.875,30,10
cohort_attention,8192,256,16,28,128,cuda:1,float16,True,0.2072640061378479,0.20936000645160674,0.21180576249957084,0.0011199936270713806,30,117440512.0,117440512.0,0.0,0,0,0.2072640061378479,1.5689599514007568,1879048192.0,7.569862132054261,0.9375,30,10
cohort_attention,8192,1024,1,28,128,cuda:1,float16,True,0.1443680003285408,0.1456224039196968,0.1469977617263794,0.0004960000514984131,28,117440512.0,117440512.0,0.0,0,2,0.1443680003285408,0.1504959985613823,117440512.0,1.0424470673479989,0.0,30,10
cohort_attention,8192,1024,2,28,128,cuda:1,float16,True,0.15535999834537506,0.1577023983001709,0.16027583688497543,0.0010880082845687866,27,117440512.0,117440512.0,0.0,0,3,0.15535999834537506,0.24561600387096405,234881024.0,1.580947518581612,0.5,30,10
cohort_attention,8192,1024,4,28,128,cuda:1,float16,True,0.16099199652671814,0.16398079991340636,0.16742911756038667,0.001023992896080017,29,117440512.0,117440512.0,0.0,0,1,0.16099199652671814,0.43375998735427856,469762048.0,2.6942953482926217,0.75,30,10
cohort_attention,8192,1024,8,28,128,cuda:1,float16,True,0.1807679980993271,0.1829632043838501,0.18551935911178588,0.0008959919214248657,29,117440512.0,117440512.0,0.0,0,1,0.1807679980993271,0.8119040131568909,939524096.0,4.491414529637994,0.875,30,10
