baseline,arrival_rate_jobs_per_s,chosen_policy,num_decisions,mean_opportunity_score,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job
waferagent_adaptive,16.0,apc_like,1,878491.7905930239,64,8192,128,32,16
waferagent_adaptive,2.0,apc_like,1,1741622.418397184,64,8192,128,512,2
waferagent_adaptive,16.0,apc_like,1,1741622.418397184,64,8192,128,512,2
waferagent_adaptive,2.0,apc_like,1,14056138.649488382,64,8192,128,512,16
waferagent_adaptive,16.0,apc_like,1,14056138.649488382,64,8192,128,512,16
waferagent_adaptive,2.0,apc_like,1,3483248.836794368,64,8192,128,1024,2
waferagent_adaptive,16.0,apc_like,1,3483248.836794368,64,8192,128,1024,2
waferagent_adaptive,2.0,apc_like,1,28112295.298976764,64,8192,128,1024,16
waferagent_adaptive,16.0,apc_like,1,28112295.298976764,64,8192,128,1024,16
waferagent_adaptive,2.0,apc_like,1,108847.651149824,64,8192,2048,32,2
waferagent_adaptive,16.0,apc_like,1,108847.651149824,64,8192,2048,32,2
waferagent_adaptive,2.0,apc_like,1,878491.7905930239,64,8192,2048,32,16
waferagent_adaptive,16.0,apc_like,1,878491.7905930239,64,8192,2048,32,16
waferagent_adaptive,2.0,apc_like,1,1741622.418397184,64,8192,2048,512,2
waferagent_adaptive,16.0,apc_like,1,1741622.418397184,64,8192,2048,512,2
waferagent_adaptive,2.0,apc_like,1,14056138.649488382,64,8192,2048,512,16
waferagent_adaptive,16.0,apc_like,1,14056138.649488382,64,8192,2048,512,16
waferagent_adaptive,2.0,apc_like,1,3483248.836794368,64,8192,2048,1024,2
waferagent_adaptive,16.0,apc_like,1,3483248.836794368,64,8192,2048,1024,2
waferagent_adaptive,2.0,apc_like,1,28112295.298976764,64,8192,2048,1024,16
waferagent_adaptive,16.0,apc_like,1,28112295.298976764,64,8192,2048,1024,16
waferagent_adaptive,2.0,apc_like,1,435402.604599296,64,32768,128,32,2
waferagent_adaptive,16.0,apc_like,1,435402.604599296,64,32768,128,32,2
waferagent_adaptive,2.0,apc_like,1,3514021.1623720955,64,32768,128,32,16
waferagent_adaptive,16.0,apc_like,1,3514021.1623720955,64,32768,128,32,16
waferagent_adaptive,2.0,apc_like,1,6966501.673588736,64,32768,128,512,2
waferagent_adaptive,16.0,apc_like,1,6966501.673588736,64,32768,128,512,2
waferagent_adaptive,2.0,apc_like,1,56224608.59795353,64,32768,128,512,16
