workflow,frontier_status,opportunity_taxonomy,consolidated_speedup_exponent,mode_switch_overhead,worker_count,criticality_threshold,flowmorph_latency,best_static_latency,best_static_oracle_latency,regret,winner,best_static_scheduler,best_static_oracle_scheduler,mode_switch_count,fixed_worker_pool_latency,always_parallel_latency,always_consolidated_latency,static_split_resource_latency
trading,frontier_positive,frontier_only,0.65,5.0,8,0.8,41.32982346585266,46.86800000000001,46.86800000000001,-0.11816541209668319,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,46.86800000000001,46.86800000000001,58.4515752325461,78.51139127928636
software_dev,frontier_positive,frontier_only,0.65,5.0,8,0.8,38.20834039925447,24.528531840573756,24.528531840573756,0.5577100434544688,always_consolidated,always_consolidated,always_consolidated,3,35.22,35.22,24.528531840573756,37.15896072075142
mapreduce,frontier_positive,frontier_only,0.65,5.0,8,1.5,15.4110285195635,10.37904849397173,10.37904849397173,0.4848209379226238,always_consolidated,always_consolidated,always_consolidated,1,15.878,15.878,10.37904849397173,16.161586837761796
debate,frontier_positive,frontier_and_phase,0.65,5.0,8,1.5,40.334994670141434,25.40126017137204,25.40126017137204,0.5879131349396651,always_consolidated,always_consolidated,always_consolidated,3,31.85,31.85,25.40126017137204,41.16584928198566
reflection,frontier_positive,frontier_only,0.65,5.0,8,1.5,20.924009192070713,9.103602107799153,9.103602107799153,1.2984318673313822,always_consolidated,always_consolidated,always_consolidated,2,21.938,21.938,9.103602107799153,22.75703530492683
iterative,weak,weak,0.65,5.0,8,1.5,91.688,23.730342584292053,23.730342584292053,2.8637453156993824,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,23.730342584292053,37.236898858555264
parallel_chains,frontier_positive,frontier_only,0.65,5.0,8,1.5,28.673757741568473,19.60843529001761,19.60843529001761,0.46231748313777477,always_consolidated,always_consolidated,always_consolidated,2,24.798000000000002,24.798000000000002,19.60843529001761,29.764146118914432
trading,frontier_positive,frontier_only,0.65,5.0,8,1.5,41.32982346585266,46.86800000000001,46.86800000000001,-0.11816541209668319,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,46.86800000000001,46.86800000000001,58.4515752325461,78.33139127928635
software_dev,frontier_positive,frontier_only,0.65,5.0,8,1.5,38.20834039925447,24.528531840573756,24.528531840573756,0.5577100434544688,always_consolidated,always_consolidated,always_consolidated,3,35.22,35.22,24.528531840573756,37.15896072075142
mapreduce,frontier_positive,frontier_only,0.65,5.0,8,2.0,15.4110285195635,10.37904849397173,10.37904849397173,0.4848209379226238,always_consolidated,always_consolidated,always_consolidated,1,15.878,15.878,10.37904849397173,16.161586837761796
debate,frontier_positive,frontier_and_phase,0.65,5.0,8,2.0,40.334994670141434,25.40126017137204,25.40126017137204,0.5879131349396651,always_consolidated,always_consolidated,always_consolidated,3,31.85,31.85,25.40126017137204,41.16584928198566
reflection,frontier_positive,frontier_only,0.65,5.0,8,2.0,20.924009192070713,9.103602107799153,9.103602107799153,1.2984318673313822,always_consolidated,always_consolidated,always_consolidated,2,21.938,21.938,9.103602107799153,22.75703530492683
iterative,weak,weak,0.65,5.0,8,2.0,91.688,23.730342584292053,23.730342584292053,2.8637453156993824,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,23.730342584292053,37.236898858555264
parallel_chains,frontier_positive,frontier_only,0.65,5.0,8,2.0,28.673757741568473,19.60843529001761,19.60843529001761,0.46231748313777477,always_consolidated,always_consolidated,always_consolidated,2,24.798000000000002,24.798000000000002,19.60843529001761,29.764146118914432
trading,frontier_positive,frontier_only,0.65,5.0,8,2.0,46.48846249836867,46.86800000000001,46.86800000000001,-0.008098009337529688,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,46.86800000000001,46.86800000000001,58.4515752325461,68.55139127928636
software_dev,frontier_positive,frontier_only,0.65,5.0,8,2.0,38.20834039925447,24.528531840573756,24.528531840573756,0.5577100434544688,always_consolidated,always_consolidated,always_consolidated,3,35.22,35.22,24.528531840573756,40.791128260175014
mapreduce,frontier_positive,frontier_only,0.65,5.0,16,0.8,14.718586293732606,6.614363279726825,6.614363279726825,1.225246130469642,always_consolidated,always_consolidated,always_consolidated,1,15.878,15.878,6.614363279726825,16.161586837761796
debate,frontier_positive,frontier_and_phase,0.65,5.0,16,0.8,39.50980931696172,16.187723049361864,16.187723049361864,1.4407267900793026,always_consolidated,always_consolidated,always_consolidated,3,31.85,31.85,16.187723049361864,41.16584928198566
reflection,frontier_positive,frontier_only,0.65,5.0,16,0.8,19.52898594426065,5.801546406690722,5.801546406690722,2.3661690479177326,always_consolidated,always_consolidated,always_consolidated,2,21.938,21.938,5.801546406690722,22.75703530492683
iterative,weak,weak,0.65,5.0,16,0.8,91.688,15.122880165368139,15.122880165368139,5.062866266041594,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,15.122880165368139,37.236898858555264
parallel_chains,frontier_positive,frontier_only,0.65,5.0,16,0.8,27.978874694442624,12.496069791997002,12.496069791997002,1.2390139588017863,always_consolidated,always_consolidated,always_consolidated,2,24.798000000000002,24.798000000000002,12.496069791997002,29.764146118914432
trading,frontier_positive,frontier_only,0.65,5.0,16,0.8,31.569798597807953,33.946,33.946,-0.06999945213551062,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,33.946,33.946,37.25003819809649,42.699142382145745
software_dev,frontier_positive,frontier_only,0.65,5.0,16,0.8,36.83641107600439,15.63155046497109,15.63155046497109,1.3565423761738478,always_consolidated,always_consolidated,always_consolidated,3,35.22,35.22,15.63155046497109,37.15896072075142
mapreduce,frontier_positive,frontier_only,0.65,5.0,16,1.5,14.718586293732606,6.614363279726825,6.614363279726825,1.225246130469642,always_consolidated,always_consolidated,always_consolidated,1,15.878,15.878,6.614363279726825,16.161586837761796
debate,frontier_positive,frontier_and_phase,0.65,5.0,16,1.5,39.50980931696172,16.187723049361864,16.187723049361864,1.4407267900793026,always_consolidated,always_consolidated,always_consolidated,3,31.85,31.85,16.187723049361864,41.16584928198566
reflection,frontier_positive,frontier_only,0.65,5.0,16,1.5,19.52898594426065,5.801546406690722,5.801546406690722,2.3661690479177326,always_consolidated,always_consolidated,always_consolidated,2,21.938,21.938,5.801546406690722,22.75703530492683
iterative,weak,weak,0.65,5.0,16,1.5,91.688,15.122880165368139,15.122880165368139,5.062866266041594,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,15.122880165368139,37.236898858555264
parallel_chains,frontier_positive,frontier_only,0.65,5.0,16,1.5,27.978874694442624,12.496069791997002,12.496069791997002,1.2390139588017863,always_consolidated,always_consolidated,always_consolidated,2,24.798000000000002,24.798000000000002,12.496069791997002,29.764146118914432
trading,frontier_positive,frontier_only,0.65,5.0,16,1.5,31.569798597807953,33.946,33.946,-0.06999945213551062,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,33.946,33.946,37.25003819809649,38.10707319684736
software_dev,frontier_positive,frontier_only,0.65,5.0,16,1.5,36.83641107600439,15.63155046497109,15.63155046497109,1.3565423761738478,always_consolidated,always_consolidated,always_consolidated,3,35.22,35.22,15.63155046497109,37.15896072075142
mapreduce,frontier_positive,frontier_only,0.65,5.0,16,2.0,14.718586293732606,6.614363279726825,6.614363279726825,1.225246130469642,always_consolidated,always_consolidated,always_consolidated,1,15.878,15.878,6.614363279726825,16.161586837761796
debate,frontier_positive,frontier_and_phase,0.65,5.0,16,2.0,39.50980931696172,16.187723049361864,16.187723049361864,1.4407267900793026,always_consolidated,always_consolidated,always_consolidated,3,31.85,31.85,16.187723049361864,41.16584928198566
reflection,frontier_positive,frontier_only,0.65,5.0,16,2.0,19.52898594426065,5.801546406690722,5.801546406690722,2.3661690479177326,always_consolidated,always_consolidated,always_consolidated,2,21.938,21.938,5.801546406690722,22.75703530492683
iterative,weak,weak,0.65,5.0,16,2.0,91.688,15.122880165368139,15.122880165368139,5.062866266041594,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,15.122880165368139,37.236898858555264
parallel_chains,frontier_positive,frontier_only,0.65,5.0,16,2.0,27.978874694442624,12.496069791997002,12.496069791997002,1.2390139588017863,always_consolidated,always_consolidated,always_consolidated,2,24.798000000000002,24.798000000000002,12.496069791997002,29.764146118914432
trading,frontier_positive,frontier_only,0.65,5.0,16,2.0,31.569798597807953,33.946,33.946,-0.06999945213551062,frontier_aware_morphing,fixed_worker_pool,fixed_worker_pool,2,33.946,33.946,37.25003819809649,42.03139127928636
software_dev,frontier_positive,frontier_only,0.65,5.0,16,2.0,36.83641107600439,15.63155046497109,15.63155046497109,1.3565423761738478,always_consolidated,always_consolidated,always_consolidated,3,35.22,35.22,15.63155046497109,40.791128260175014
mapreduce,frontier_positive,frontier_only,0.8,0.0,4,0.8,10.935172587465216,10.599172587465217,10.599172587465217,0.031700587685246084,static_split_resource,static_split_resource,static_split_resource,1,15.878,15.878,13.22872655945365,10.599172587465217
debate,frontier_positive,frontier_and_phase,0.8,0.0,4,0.8,25.959618633923434,25.495618633923435,25.495618633923435,0.0181992053874942,static_split_resource,static_split_resource,static_split_resource,3,31.85,31.85,32.37544609872373,25.495618633923435
reflection,frontier_positive,frontier_only,0.8,0.0,4,0.8,11.979971888521302,11.603092813381444,11.603092813381444,0.032480915321578374,always_consolidated,always_consolidated,always_consolidated,2,21.938,21.938,11.603092813381444,11.623971888521304
iterative,weak,weak,0.8,0.0,4,0.8,91.688,30.245760330736278,30.245760330736278,2.031433133020797,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,30.245760330736278,30.245760330736278
