wave_id,baseline,scheduler,seed_state_id,operator_ids,region_ids,start_time,end_time,batch_size,materialization_bytes,movement_byte_hop,max_link_load_delta,benefit,wait_penalty,mesh,region_memory_capacity,shared_state_size,branch_width
1,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_trader_0""]","[""R_0_0""]",5.7400032022781255,9.844006402545,1,1708,1708,0,1.0,0.0,16x16,268435456,4000,1
2,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_risk_0""]","[""R_0_0""]",9.844006402545,15.188009603199376,1,4188,4188,0,1.0,0.0,16x16,268435456,4000,1
3,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_manager""]","[""R_0_0""]",15.188009603199376,20.952012803330625,1,840,840,0,1.0,0.0,16x16,268435456,4000,1
0,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_analyst_0""]","[""R_0_0""]",0.0,5.7400032017781255,1,11380,11380,0,1.0,0.0,16x16,268435456,4000,1
1,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_researcher_0""]","[""R_0_0""]",5.7400032017781255,11.480006402278125,1,3200,3200,0,1.0,0.0,16x16,268435456,4000,1
2,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_trader_0""]","[""R_0_0""]",11.480006402278125,15.584009602544999,1,1708,1708,0,1.0,0.0,16x16,268435456,4000,1
3,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_risk_0""]","[""R_0_0""]",15.584009602544999,20.928012803199373,1,4188,4188,0,1.0,0.0,16x16,268435456,4000,1
4,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_manager""]","[""R_0_0""]",20.928012803199373,26.69201600333062,1,840,840,0,1.0,0.0,16x16,268435456,4000,1
0,wafer_request_centric,wafer_request_centric,,"[""O_analyst_0"", ""O_researcher_0""]","[""R_0_0"", ""R_0_0""]",0.0,5.74,2,14580,0,0,2.0,0.0,16x16,268435456,4000,1
1,wafer_request_centric,wafer_request_centric,,"[""O_trader_0""]","[""R_0_0""]",5.74,9.844000000000001,1,1708,0,0,1.0,0.0,16x16,268435456,4000,1
2,wafer_request_centric,wafer_request_centric,,"[""O_risk_0""]","[""R_0_0""]",9.844000000000001,15.188000000000002,1,4188,0,0,1.0,0.0,16x16,268435456,4000,1
3,wafer_request_centric,wafer_request_centric,,"[""O_manager""]","[""R_0_0""]",15.188000000000002,20.952,1,840,0,0,1.0,0.0,16x16,268435456,4000,1
0,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_0"", ""O_researcher_0""]","[""R_0_0"", ""R_0_0""]",0.0,5.74,2,16360,0,0,13121.0,0.0,16x16,268435456,4000,1
1,WaferStateFlow,WaferStateFlow,,"[""O_trader_0""]","[""R_0_0""]",5.74,9.844000000000001,1,1708,0,0,0.0,0.0,16x16,268435456,4000,1
2,WaferStateFlow,WaferStateFlow,,"[""O_risk_0""]","[""R_0_0""]",9.844000000000001,15.188000000000002,1,4188,0,0,0.0,0.0,16x16,268435456,4000,1
3,WaferStateFlow,WaferStateFlow,,"[""O_manager""]","[""R_0_0""]",15.188000000000002,20.952,1,1828,0,0,0.0,4.0,16x16,268435456,4000,1
0,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_analyst_0"", ""O_analyst_1"", ""O_researcher_0"", ""O_researcher_1""]","[""R_0_0"", ""R_0_15"", ""R_0_0"", ""R_0_15""]",0.0,5.740003204533751,4,29016,29016,0,4.0,0.0,16x16,268435456,4000,2
1,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_trader_0"", ""O_trader_1""]","[""R_0_0"", ""R_0_15""]",5.740003204533751,9.938006405096875,2,3604,3604,0,2.0,0.0,16x16,268435456,4000,2
2,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_risk_0"", ""O_risk_1""]","[""R_0_0"", ""R_0_15""]",9.938006405096875,15.286009606406875,2,8384,8384,0,2.0,0.0,16x16,268435456,4000,2
3,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_manager""]","[""R_0_0""]",15.286009606406875,22.178012806890624,1,3096,3096,0,1.0,0.0,16x16,268435456,4000,2
0,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_analyst_0"", ""O_analyst_1""]","[""R_0_0"", ""R_0_15""]",0.0,5.74000320203375,2,13016,13016,0,2.0,0.0,16x16,268435456,4000,2
1,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_researcher_0"", ""O_researcher_1""]","[""R_0_0"", ""R_0_15""]",5.74000320203375,11.48000640253375,2,3200,3200,0,2.0,0.0,16x16,268435456,4000,2
2,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_trader_0"", ""O_trader_1""]","[""R_0_0"", ""R_0_15""]",11.48000640253375,15.678009603096875,2,3604,3604,0,2.0,0.0,16x16,268435456,4000,2
3,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_risk_0"", ""O_risk_1""]","[""R_0_0"", ""R_0_15""]",15.678009603096875,21.026012803906873,2,5184,5184,0,2.0,0.0,16x16,268435456,4000,2
4,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_manager""]","[""R_0_0""]",21.026012803906873,27.918016004235,1,2100,2100,0,1.0,0.0,16x16,268435456,4000,2
0,wafer_request_centric,wafer_request_centric,,"[""O_analyst_0"", ""O_analyst_1"", ""O_researcher_0"", ""O_researcher_1""]","[""R_0_0"", ""R_0_15"", ""R_0_0"", ""R_0_15""]",0.0,5.74001676384,4,29016,86808576,5826560,4.0,0.0,16x16,268435456,4000,2
1,wafer_request_centric,wafer_request_centric,,"[""O_trader_0"", ""O_trader_1""]","[""R_0_0"", ""R_0_15""]",5.74001676384,9.9380248888,2,3604,31519744,2123776,2.0,0.0,16x16,268435456,4000,2
2,wafer_request_centric,wafer_request_centric,,"[""O_risk_0"", ""O_risk_1""]","[""R_0_0"", ""R_0_15""]",9.9380248888,15.286034444159998,2,8384,40674304,2712576,2.0,0.0,16x16,268435456,4000,2
3,wafer_request_centric,wafer_request_centric,,"[""O_manager""]","[""R_0_0""]",15.286034444159998,22.178040887679998,1,3096,20758528,2965504,1.0,0.0,16x16,268435456,4000,2
