kv_storage_precision,state_precision,num_shards,query_tile_size,reduction_topology,max_abs_error,mean_abs_error,relative_error,cosine_similarity,nan_or_inf_count,passes_fp32_gate
fp32,fp16,1,4,ring_reduce,0.00012919306755065918,1.5738580259494483e-05,0.0003113712845855649,0.999999915929415,0,False
fp32,fp16,1,4,binary_tree_reduce,0.00012919306755065918,1.5738580259494483e-05,0.0003113712845855649,0.999999915929415,0,False
fp32,fp16,1,8,ring_reduce,0.00012877583503723145,2.167846105294302e-05,0.0003571161232918433,1.0000000211275075,0,False
fp32,fp16,1,8,binary_tree_reduce,0.00012877583503723145,2.167846105294302e-05,0.0003571161232918433,1.0000000211275075,0,False
fp32,fp16,1,16,ring_reduce,0.00016433000564575195,1.5522771718678996e-05,0.00026313789555327285,1.000000071725287,0,False
fp32,fp16,1,16,binary_tree_reduce,0.00016433000564575195,1.5522771718678996e-05,0.00026313789555327285,1.000000071725287,0,False
fp32,fp16,2,1,ring_reduce,0.00020117312669754028,7.445170194841921e-05,0.0006426621895114364,0.999999886409243,0,False
fp32,fp16,2,1,binary_tree_reduce,0.00020117312669754028,7.445170194841921e-05,0.0006426621895114364,0.999999886409243,0,False
fp32,fp16,2,2,ring_reduce,0.00021494925022125244,4.52439853688702e-05,0.0006104709833741897,0.9999999331585644,0,False
fp32,fp16,2,2,binary_tree_reduce,0.00021494925022125244,4.52439853688702e-05,0.0006104709833741897,0.9999999331585644,0,False
fp32,fp16,2,4,ring_reduce,0.00028145313262939453,5.208977745496668e-05,0.0007294119114842157,0.9999996032890444,0,False
fp32,fp16,2,4,binary_tree_reduce,0.00028145313262939453,5.208977745496668e-05,0.0007294119114842157,0.9999996032890444,0,False
fp32,fp16,2,8,ring_reduce,0.00023090839385986328,4.099402576684952e-05,0.000534668603080503,0.9999998972560395,0,False
fp32,fp16,2,8,binary_tree_reduce,0.00023090839385986328,4.099402576684952e-05,0.000534668603080503,0.9999998972560395,0,False
fp32,fp16,2,16,ring_reduce,0.0003287792205810547,3.8587870221817866e-05,0.0005538350450081613,0.9999998228866719,0,False
fp32,fp16,2,16,binary_tree_reduce,0.0003287792205810547,3.8587870221817866e-05,0.0005538350450081613,0.9999998228866719,0,False
fp32,fp16,4,1,ring_reduce,0.0002005249261856079,4.121878737350926e-05,0.0007503742809507174,0.999999945735254,0,False
fp32,fp16,4,1,binary_tree_reduce,0.00014479458332061768,4.047156835440546e-05,0.0006902176735622878,0.9999998929693108,0,False
fp32,fp16,4,2,ring_reduce,0.00012987107038497925,3.877934068441391e-05,0.0006064403835597706,0.9999999441132713,0,False
fp32,fp16,4,2,binary_tree_reduce,0.00013881735503673553,3.912820102414116e-05,0.0006146955584607608,0.9999998477912175,0,False
