kv_storage_precision,state_precision,num_shards,query_tile_size,reduction_topology,max_abs_error,mean_abs_error,relative_error,cosine_similarity,nan_or_inf_count,passes_fp32_gate
fp32,fp16,16,4,ring_reduce,0.00031839311122894287,6.174876762088388e-05,0.0008619595584693276,0.9999997665270852,0,False
fp32,fp16,16,4,binary_tree_reduce,0.00018359720706939697,4.9182024667970836e-05,0.0006369913066114871,0.9999998766418174,0,False
fp32,fp16,16,8,ring_reduce,0.0003393441438674927,5.750204945798032e-05,0.0009498981550145229,0.9999995521721802,0,False
fp32,fp16,16,8,binary_tree_reduce,0.0002752766013145447,4.953027018927969e-05,0.0007686738500147432,0.9999998059858496,0,False
fp32,fp16,16,16,ring_reduce,0.000515669584274292,5.8508318034000695e-05,0.0008723755336841713,0.9999995900768426,0,False
fp32,fp16,16,16,binary_tree_reduce,0.0003394782543182373,5.2427676564548165e-05,0.000713012985413685,0.9999996933636489,0,False
fp32,fp16,32,1,ring_reduce,0.00016617029905319214,5.9376317949499935e-05,0.0005564363933870783,0.9999999412531316,0,False
fp32,fp16,32,1,binary_tree_reduce,0.0003243982791900635,8.145697938743979e-05,0.0008168542369458602,0.9999996316002135,0,False
fp32,fp16,32,2,ring_reduce,0.0007262527942657471,0.00012084261834388599,0.0016702484204539052,0.9999987202265671,0,False
fp32,fp16,32,2,binary_tree_reduce,0.00032708048820495605,8.440858073299751e-05,0.001016198111374687,0.9999995167708313,0,False
fp32,fp16,32,4,ring_reduce,0.0006556510925292969,9.74252398009412e-05,0.001052342816998565,0.9999995795878494,0,False
fp32,fp16,32,4,binary_tree_reduce,0.0002726912498474121,6.386169843608513e-05,0.0006643585249653752,0.9999999035364268,0,False
fp32,fp16,32,8,ring_reduce,0.0005246102809906006,6.842440052423626e-05,0.0011103644728827325,0.999999342465388,0,False
fp32,fp16,32,8,binary_tree_reduce,0.0002465546131134033,4.71661078336183e-05,0.0007446682322451835,0.9999996630128216,0,False
fp32,fp16,32,16,ring_reduce,0.0005361735820770264,8.727068779990077e-05,0.0012215240791874228,0.9999992074433842,0,False
fp32,fp16,32,16,binary_tree_reduce,0.00042062997817993164,5.7481476687826216e-05,0.0008065613751103174,0.9999995618289934,0,False
bf16,fp32,1,1,ring_reduce,5.960464477539063e-08,1.871376298367977e-08,2.0864659860155743e-07,0.9999999974978206,0,True
bf16,fp32,1,1,binary_tree_reduce,5.960464477539063e-08,1.871376298367977e-08,2.0864659860155743e-07,0.9999999974978206,0,True
bf16,fp32,1,2,ring_reduce,1.1920928955078125e-07,2.186243364121765e-08,3.647455586673003e-07,1.0000001041496567,0,True
bf16,fp32,1,2,binary_tree_reduce,1.1920928955078125e-07,2.186243364121765e-08,3.647455586673003e-07,1.0000001041496567,0,True
bf16,fp32,1,4,ring_reduce,1.1920928955078125e-07,2.1024789020884782e-08,2.652595273227379e-07,0.9999999112354948,0,True
bf16,fp32,1,4,binary_tree_reduce,1.1920928955078125e-07,2.1024789020884782e-08,2.652595273227379e-07,0.9999999112354948,0,True
bf16,fp32,1,8,ring_reduce,1.341104507446289e-07,1.922228420880856e-08,2.891753692923594e-07,1.0000000077962188,0,True
bf16,fp32,1,8,binary_tree_reduce,1.341104507446289e-07,1.922228420880856e-08,2.891753692923594e-07,1.0000000077962188,0,True
bf16,fp32,1,16,ring_reduce,1.7881393432617188e-07,2.453968761528813e-08,3.203247129310434e-07,1.0000000064071661,0,True
bf16,fp32,1,16,binary_tree_reduce,1.7881393432617188e-07,2.453968761528813e-08,3.203247129310434e-07,1.0000000064071661,0,True
bf16,fp32,2,1,ring_reduce,2.9802322387695312e-08,1.2703821994364262e-08,1.3103383979916265e-07,1.0000000821898731,0,True
bf16,fp32,2,1,binary_tree_reduce,2.9802322387695312e-08,1.2703821994364262e-08,1.3103383979916265e-07,1.0000000821898731,0,True
bf16,fp32,2,2,ring_reduce,5.960464477539063e-08,1.5748810255900025e-08,2.222238929197735e-07,1.0000000508250833,0,True
bf16,fp32,2,2,binary_tree_reduce,5.960464477539063e-08,1.5748810255900025e-08,2.222238929197735e-07,1.0000000508250833,0,True
bf16,fp32,2,4,ring_reduce,1.341104507446289e-07,2.1094137991894968e-08,2.627630355507731e-07,1.0000000614158184,0,True
bf16,fp32,2,4,binary_tree_reduce,1.341104507446289e-07,2.1094137991894968e-08,2.627630355507731e-07,1.0000000614158184,0,True
bf16,fp32,2,8,ring_reduce,7.450580596923828e-08,1.6337388331066904e-08,2.2762339984149813e-07,1.000000035116306,0,True
bf16,fp32,2,8,binary_tree_reduce,7.450580596923828e-08,1.6337388331066904e-08,2.2762339984149813e-07,1.000000035116306,0,True
bf16,fp32,2,16,ring_reduce,1.1920928955078125e-07,2.2728634974100714e-08,3.034691953922088e-07,0.9999998688639182,0,True
bf16,fp32,2,16,binary_tree_reduce,1.1920928955078125e-07,2.2728634974100714e-08,3.034691953922088e-07,0.9999998688639182,0,True
bf16,fp32,4,1,ring_reduce,5.960464477539063e-08,1.155422069132328e-08,1.5266391572802938e-07,1.0000000847715562,0,True
bf16,fp32,4,1,binary_tree_reduce,4.470348358154297e-08,8.527422323822975e-09,1.2079309438084064e-07,1.0000000847715562,0,True
bf16,fp32,4,2,ring_reduce,5.960464477539063e-08,1.4384568203240633e-08,1.7994003393899033e-07,1.0000000415900705,0,True
bf16,fp32,4,2,binary_tree_reduce,5.960464477539063e-08,1.2958480510860682e-08,1.5669513383370903e-07,1.0000000415900705,0,True
bf16,fp32,4,4,ring_reduce,6.51925802230835e-08,1.4619104149460327e-08,2.224508965102524e-07,1.0000000150288697,0,True
bf16,fp32,4,4,binary_tree_reduce,6.51925802230835e-08,1.4291913430497516e-08,2.1811741190251922e-07,0.9999999526400378,0,True
