mode,estimated_latency_s,estimated_attention_stage_latency_s,critical_path_latency_s,throughput_bound_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,vc_model,shared_prefix_tokens,agents,decode_tokens
KVRing-v1-sequential-pipeline,0.00178694,0.00178694,0.00178694,0.00178694,0.000218336,0.001568604,0.375,0.09375,32.125,0.017578125,0.00439453125,0.017578125,1.0,"(0,0)->(0,1)",,2,,,,,False,,2048,2,512
KVRing-v2-ring,0.0007828,0.0007828,1.809e-06,0.0007828,0.000757877,0.001562525,0.375,0.09375,160.0625,0.205322265625,0.0017223358154296875,0.070556640625,4.400609080841639,"(0,0)->(1,0)",0.125,2,512,ring,serpentine,8,False,not_modeled_for_performance,2048,2,512
KVRing-v2-tree,0.0007828,0.0007828,1.749e-06,0.0007828,0.001098604,0.001562525,0.375,0.09375,160.0625,0.189453125,0.001598358154296875,0.0546875,3.675417661097852,"(0,0)->(1,0)",0.125,2,512,tree,serpentine,8,False,not_modeled_for_performance,2048,2,512
Pull-KV Independent,2.76140746,2.76140746,2.76140746,2.76140746,2.748901356,0.012506104,0.375,0.25,256.125,256.015625,3.6252212524414062,256.0078125,3.51713404817274,"(7,7)->(6,7)",,4,,,,,,,2048,2,512
Central KV-Stationary,0.013782536,0.013782536,0.013782536,0.013782536,0.000208794,0.013573742,0.375,0.25,256.125,0.023681640625,0.00033533573150634766,0.015869140625,2.356914326341984,"(7,7)->(6,7)",,4,,,,,,,2048,2,512
Replicate-All,0.011624889,0.011624889,0.011624889,0.011624889,0.005368785,0.006256104,0.625,0.3125,128.125,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,4,,,,,,,2048,2,512
KVRing-v1-sequential-pipeline,0.00178694,0.00178694,0.00178694,0.00178694,0.000218336,0.001568604,0.375,0.09375,32.125,0.017578125,0.00439453125,0.017578125,1.0,"(0,0)->(0,1)",,4,,,,,False,,2048,2,512
KVRing-v2-ring,0.001177646,0.001177646,1.812e-06,0.001177646,0.001515474,0.001564075,0.375,0.09375,160.0625,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",0.125,4,512,ring,serpentine,8,False,not_modeled_for_performance,2048,2,512
KVRing-v2-tree,0.001177646,0.001177646,1.752e-06,0.001177646,0.002196988,0.001564075,0.375,0.09375,160.0625,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",0.125,4,512,tree,serpentine,8,False,not_modeled_for_performance,2048,2,512
Pull-KV Independent,2.76140746,2.76140746,2.76140746,2.76140746,2.748901356,0.012506104,0.375,0.25,256.125,256.015625,3.6252212524414062,256.0078125,3.51713404817274,"(7,7)->(6,7)",,8,,,,,,,2048,2,512
Central KV-Stationary,0.013782536,0.013782536,0.013782536,0.013782536,0.000208794,0.013573742,0.375,0.25,256.125,0.023681640625,0.00033533573150634766,0.015869140625,2.356914326341984,"(7,7)->(6,7)",,8,,,,,,,2048,2,512
Replicate-All,0.011624889,0.011624889,0.011624889,0.011624889,0.005368785,0.006256104,0.625,0.3125,128.125,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,8,,,,,,,2048,2,512
KVRing-v1-sequential-pipeline,0.00178694,0.00178694,0.00178694,0.00178694,0.000218336,0.001568604,0.375,0.09375,32.125,0.017578125,0.00439453125,0.017578125,1.0,"(0,0)->(0,1)",,8,,,,,False,,2048,2,512
KVRing-v2-ring,0.00235515,0.00235515,1.818e-06,0.00235515,0.003030666,0.001567174,0.375,0.09375,160.0625,0.8212890625,0.00688934326171875,0.2822265625,4.400609080841639,"(0,0)->(1,0)",0.125,8,512,ring,serpentine,8,False,not_modeled_for_performance,2048,2,512
KVRing-v2-tree,0.00235515,0.00235515,1.758e-06,0.00235515,0.004393755,0.001567174,0.375,0.09375,160.0625,0.7578125,0.0063934326171875,0.21875,3.675417661097852,"(0,0)->(1,0)",0.125,8,512,tree,serpentine,8,False,not_modeled_for_performance,2048,2,512
Pull-KV Independent,2.76140746,2.76140746,2.76140746,2.76140746,2.748901356,0.012506104,0.375,0.25,256.125,256.015625,3.6252212524414062,256.0078125,3.51713404817274,"(7,7)->(6,7)",,16,,,,,,,2048,2,512
Central KV-Stationary,0.013782536,0.013782536,0.013782536,0.013782536,0.000208794,0.013573742,0.375,0.25,256.125,0.023681640625,0.00033533573150634766,0.015869140625,2.356914326341984,"(7,7)->(6,7)",,16,,,,,,,2048,2,512
