policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
asg-prefetch-v2-online,heuristic,heuristic,2,0.25,1584017780,,,5.479736471139863e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1282223115,94210,2398617600,88080384,12447121408,44507200,4120239,34,4165,252,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,4,0.25,1583946000,,,5.47998479746153e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1332246000,0,0,0,0,0,0,0,3880,537,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,4,0.25,1584017780,,,5.479736471139863e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1269506959,223335,2649751552,88080384,12373721088,43900994,4440145,67,4144,273,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,8,0.25,1583946000,,,5.47998479746153e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1332246000,0,0,0,0,0,0,0,3872,545,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,8,0.25,1584017780,,,5.479736471139863e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1286713349,223335,2453143552,75497472,12249464832,42715303,5141459,67,4160,257,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,16,0.25,1583946000,,,5.47998479746153e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1332246000,0,0,0,0,0,0,0,3800,617,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,16,0.25,1565508780,,,5.544523359364359e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1297713735,176329,4304928768,75497472,8901885952,33141484,1633862,46,4029,388,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,1,0.5,1530372000,,,5.671823582762884e-07,4239921,632566054912,1716,1,1019,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005478176121831,0.7204301075268817,1287105000,0,0,0,0,0,0,0,4205,217,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",7.458154426414652e-05,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.5,1530589189,,,5.671018756947459e-07,4239921,632566054912,1716,1,1019,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005478176121831,0.7204301075268817,1234285676,53249,2564292608,0,12062294016,36272181,10848850,62,4315,107,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",7.458154426414652e-05,False
asg-retention-v2-online,heuristic,heuristic,2,0.5,1530372000,,,5.671823582762884e-07,4239921,632566054912,1716,1,1019,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005478176121831,0.7204301075268817,1287105000,0,0,0,0,0,0,0,4178,244,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",7.458154426414652e-05,False
asg-prefetch-v2-online,heuristic,heuristic,2,0.5,1553963780,,,5.585715775177206e-07,4239921,632566054912,1716,1,1019,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005478176121831,0.7204301075268817,1174465254,0,10630463488,31457280,26900168704,93626824,11456624,107,4253,169,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",7.458154426414652e-05,False
asg-retention-v2-online,heuristic,heuristic,4,0.5,1530372000,,,5.671823582762884e-07,4239917,632563957760,1724,1,1019,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005561191368408,0.7191267513848159,1287105000,0,0,0,0,0,0,0,4104,310,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",3.1963518970348506e-05,False
asg-prefetch-v2-online,heuristic,heuristic,4,0.5,1534296409,,,5.657316245468707e-07,4239917,632563957760,1724,1,1019,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005561191368408,0.7191267513848159,1128449720,2448393,18174443520,56623104,29857677312,107079707,9556148,169,4133,281,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",3.1963518970348506e-05,False
asg-retention-v2-online,heuristic,heuristic,8,0.5,1530371000,,,5.671827288938433e-07,4239915,632562909184,1728,1,1019,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005602698991702,0.718475073313783,1287104000,0,0,0,0,0,0,0,4046,364,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",-6.393180607352158e-05,False
asg-prefetch-v2-online,heuristic,heuristic,8,0.5,1558612508,,,5.569055782272729e-07,4239915,632562909184,1728,1,1019,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005602698991702,0.718475073313783,1153032424,650508,20180893696,56623104,29559881728,101047345,14427031,160,4113,297,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",-6.393180607352158e-05,False
asg-retention-v2-online,heuristic,heuristic,16,0.5,1530371000,,,5.671827288938433e-07,4239914,632562384896,1730,1,1019,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005623452803338,0.7181492342782665,1287104000,0,0,0,0,0,0,0,4047,361,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,16,0.5,1527267614,,,5.68335236106172e-07,4239914,632562384896,1730,1,1019,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005623452803338,0.7181492342782665,1146211807,51300,11034165248,44040192,28566355968,96799262,14790533,155,4076,332,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",0.0,False
