workload,num_agents,shared_prefix_tokens,output_tokens,cohort_size,shared_kv_read_without_cohort,shared_kv_read_with_cohort,shared_kv_read_reduction_ratio,decode_attention_latency_ms
decode_heavy_shared_prefix,8,32768,128,1,1924145348608,2212767150899.1997,0.0,44255.34301798399
decode_heavy_shared_prefix,8,32768,128,2,1924145348608,1106383575449.5999,0.42500000000000004,22127.671508991996
decode_heavy_shared_prefix,8,32768,128,4,1924145348608,553191787724.7999,0.7125,11063.835754495998
decode_heavy_shared_prefix,8,32768,128,8,1924145348608,276595893862.39996,0.85625,5531.917877247999
decode_heavy_shared_prefix,8,32768,128,16,1924145348608,276595893862.39996,0.85625,5531.917877247999
decode_heavy_shared_prefix,8,32768,512,1,7696581394432,8851068603596.799,0.0,177021.37207193597
decode_heavy_shared_prefix,8,32768,512,2,7696581394432,4425534301798.399,0.42500000000000004,88510.68603596798
decode_heavy_shared_prefix,8,32768,512,4,7696581394432,2212767150899.1997,0.7125,44255.34301798399
decode_heavy_shared_prefix,8,32768,512,8,7696581394432,1106383575449.5999,0.85625,22127.671508991996
decode_heavy_shared_prefix,8,32768,512,16,7696581394432,1106383575449.5999,0.85625,22127.671508991996
decode_heavy_shared_prefix,16,512,32,1,15032385536,17287243366.399998,0.0,345.74486732799994
decode_heavy_shared_prefix,16,512,32,2,15032385536,8643621683.199999,0.42500000000000004,172.87243366399997
decode_heavy_shared_prefix,16,512,32,4,15032385536,4321810841.599999,0.7125,86.43621683199999
decode_heavy_shared_prefix,16,512,32,8,15032385536,2160905420.7999997,0.85625,43.21810841599999
decode_heavy_shared_prefix,16,512,32,16,15032385536,1080452710.3999999,0.928125,21.609054207999996
decode_heavy_shared_prefix,16,512,128,1,60129542144,69148973465.59999,0.0,1382.9794693119998
decode_heavy_shared_prefix,16,512,128,2,60129542144,34574486732.799995,0.42500000000000004,691.4897346559999
decode_heavy_shared_prefix,16,512,128,4,60129542144,17287243366.399998,0.7125,345.74486732799994
decode_heavy_shared_prefix,16,512,128,8,60129542144,8643621683.199999,0.85625,172.87243366399997
decode_heavy_shared_prefix,16,512,128,16,60129542144,4321810841.599999,0.928125,86.43621683199999
decode_heavy_shared_prefix,16,512,512,1,240518168576,276595893862.39996,0.0,5531.917877247999
decode_heavy_shared_prefix,16,512,512,2,240518168576,138297946931.19998,0.42500000000000004,2765.9589386239995
decode_heavy_shared_prefix,16,512,512,4,240518168576,69148973465.59999,0.7125,1382.9794693119998
decode_heavy_shared_prefix,16,512,512,8,240518168576,34574486732.799995,0.85625,691.4897346559999
decode_heavy_shared_prefix,16,512,512,16,240518168576,17287243366.399998,0.928125,345.74486732799994
decode_heavy_shared_prefix,16,2048,32,1,60129542144,69148973465.59999,0.0,1382.9794693119998
decode_heavy_shared_prefix,16,2048,32,2,60129542144,34574486732.799995,0.42500000000000004,691.4897346559999
decode_heavy_shared_prefix,16,2048,32,4,60129542144,17287243366.399998,0.7125,345.74486732799994
decode_heavy_shared_prefix,16,2048,32,8,60129542144,8643621683.199999,0.85625,172.87243366399997
decode_heavy_shared_prefix,16,2048,32,16,60129542144,4321810841.599999,0.928125,86.43621683199999
decode_heavy_shared_prefix,16,2048,128,1,240518168576,276595893862.39996,0.0,5531.917877247999
