config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,comparison,jct_delta_pct
32,train,28,4682,198,25,8,32.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.2205558435085218
32,train,28,4682,198,25,8,32.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9869752336374704
33,train,42,8063,2047,516,8,1.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.6546860436998798
33,train,42,8063,2047,516,8,1.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.6546791267574288
33,train,42,8063,2047,516,8,1.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9996051339144457
34,train,25,1416,4031,157,8,2.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,0.3423488047659993
34,train,25,1416,4031,157,8,2.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,3.9509930833243256
34,train,25,1416,4031,157,8,2.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.994183822154428
35,train,116,1358,571,212,8,4.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.1929443832231217
35,train,116,1358,571,212,8,4.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,7.15896987102006
35,train,116,1358,571,212,8,4.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9979795005498582
36,train,64,50777,3360,99,4,8.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9983681537361689
36,train,64,50777,3360,99,4,8.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9984675156173897
36,train,64,50777,3360,99,4,8.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,1.3538419027324503e-05
37,train,67,605,709,1671,16,2.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.35189163845001176
37,train,67,605,709,1671,16,2.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.3518899283972675
37,train,67,605,709,1671,16,2.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9990226362798683
38,train,122,25730,72,1296,16,16.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.7737973658388573
38,train,122,25730,72,1296,16,16.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.7737969433681173
38,train,122,25730,72,1296,16,16.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.18743599134848316
39,train,33,453,741,71,16,16.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.0717237168720102
39,train,33,453,741,71,16,16.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.071558585254432
39,train,33,453,741,71,16,16.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9937754963846775
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9966477390986491
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9966372666114329
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,9.887486012723414e-06
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.9996476480224088
