baseline,arrival_rate_jobs_per_s,chosen_policy,num_decisions,mean_opportunity_score,config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,fanin
waferagent_adaptive,2.0,waferagent_latency_safe,1,783768.669312224,146,test,92,10157,946,143,8,True
waferagent_adaptive,4.0,waferagent_latency_safe,1,209274.339755456,147,test,59,9476,1467,74,4,True
waferagent_adaptive,32.0,waferagent_latency_safe,1,2704953.099785728,148,test,120,33197,75,151,8,True
waferagent_adaptive,1.0,waferagent_latency_safe,1,1129412.128398128,149,test,31,6901,2611,1392,2,False
waferagent_adaptive,32.0,waferagent_latency_safe,1,5933032.917016064,150,test,128,32671,96,1021,2,True
waferagent_adaptive,16.0,waferagent_latency_safe,1,23301.266528,151,test,23,3250,378,61,2,False
waferagent_adaptive,32.0,waferagent_latency_safe,1,4164161.21196288,152,test,88,4083,4023,1890,8,True
waferagent_adaptive,16.0,apc_like,1,17644263.36678272,153,test,32,22880,197,279,32,True
waferagent_adaptive,4.0,waferagent_latency_safe,1,86311.058572736,154,test,55,523,2582,553,4,True
waferagent_adaptive,4.0,waferagent_latency_safe,1,4637.095706816,155,test,52,1462,410,27,2,False
waferagent_adaptive,4.0,waferagent_latency_safe,1,1292819.561529536,156,test,62,26057,181,422,2,False
waferagent_adaptive,4.0,waferagent_latency_safe,3,65575.57418788267,157,test,8,4754,2033,371,2,False
waferagent_adaptive,4.0,waferagent_latency_safe,1,258208.798305984,158,test,30,1019,77,1064,4,False
waferagent_adaptive,2.0,apc_like,1,18535187.5086072,159,test,24,63865,948,105,32,True
