config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,shared_decode_cohort_reuse_rate,placement_mesh_reduction_ratio,scheduler_parallelism_gain,waferagent_vs_apc_jct_p99_delta_pct,regime_label
109,validation,27,7407,151,409,16,8.0,True,1.0,1.0,0.30000000000035554,0.9492621135930522,-0.3536821461376817,0.32182680602447794,traffic_reduction_only
110,validation,53,2394,86,59,16,1.0,True,1.0,1.0,0.0,0.9998949203959664,-0.292313931988518,0.0,low_reuse_apc_better
111,validation,49,24681,507,61,4,4.0,True,1.0,1.0,0.3315000000015811,1.0,0.9968841911201872,-0.9968841026483747,waferagent_latency_beneficial
112,validation,87,31596,1578,865,2,4.0,False,1.0,1.0,0.4037500000001326,1.0,0.9988536616449343,-0.9988536570794576,waferagent_latency_beneficial
113,validation,38,54570,1478,1066,8,4.0,True,1.0,1.0,0.3730555555556131,0.9998998605649378,-0.33301026772237274,-0.9983006414229256,waferagent_latency_beneficial
114,validation,8,3623,134,101,16,4.0,True,1.0,1.0,0.387500000003802,0.999984124189705,-0.33857190409592103,-0.9981190449263129,waferagent_latency_beneficial
115,validation,26,285,189,38,4,1.0,False,1.0,1.0,0.0,-0.0,0.910370642372489,-0.910370642372489,waferagent_latency_beneficial
116,validation,5,463,172,2006,16,32.0,False,1.0,1.0,0.0,1.0,-1.7603809931761678,-0.9991218043613662,waferagent_latency_beneficial
117,validation,85,463,1720,205,2,8.0,True,1.0,1.0,0.0,1.0,0.9375379468498315,-0.9375379468498315,waferagent_latency_beneficial
118,validation,14,3041,217,1233,32,4.0,True,1.0,1.0,0.40696969697008667,-31.424573204469777,-1.0186323067499374,-0.9245129760001413,waferagent_latency_beneficial
119,validation,53,38549,471,298,16,1.0,True,1.0,1.0,0.0,0.9492600626952417,-0.35289001176551027,0.0,low_reuse_apc_better
120,validation,114,655,506,949,4,16.0,True,1.0,1.0,0.0,1.0,0.9942602914693457,-0.9942602914693457,waferagent_latency_beneficial
121,validation,120,4778,360,74,8,8.0,False,1.0,1.0,0.41968750000639254,0.9989137458499521,-1.571319764549051,-0.9928812915563071,waferagent_latency_beneficial
122,validation,83,42788,637,24,4,8.0,True,1.0,1.0,0.3315000000017385,1.0,0.99471599390839,-0.9947158701994334,waferagent_latency_beneficial
123,validation,89,2734,3292,105,2,8.0,True,1.0,1.0,0.26916666666666667,1.0,0.9736882260504056,-0.9736889142153455,waferagent_latency_beneficial
124,validation,3,16602,255,1102,8,1.0,True,1.0,1.0,0.344722222222256,0.9999117506630354,-0.3313488462038276,-0.9996914884436743,waferagent_latency_beneficial
125,validation,21,5439,228,51,4,1.0,True,1.0,1.0,0.3315000000021453,1.0,0.990932365427866,-0.9909321687696856,waferagent_latency_beneficial
126,validation,6,521,486,44,2,1.0,False,1.0,1.0,0.0,-0.0,0.8340270033710967,-0.8340270033710967,waferagent_latency_beneficial
127,validation,10,4233,218,68,32,32.0,True,1.0,1.0,0.2640151515167981,0.9163301593333132,-1.0819006390065917,1.0002583243099226,traffic_reduction_only
128,test,114,444,323,1135,2,8.0,True,1.0,1.0,0.0,1.0,0.9838252629995738,-0.9838252629995738,waferagent_latency_beneficial
129,test,123,4615,116,27,8,16.0,False,1.0,1.0,0.4196875,0.9971734460284549,-1.4718163808715428,-0.9838323248740278,waferagent_latency_beneficial
130,test,11,1145,126,76,32,8.0,True,1.0,1.0,0.40954545458769753,0.9988468660727392,-0.8826818861148654,-0.9971057992353246,waferagent_latency_beneficial
131,test,59,817,662,78,2,8.0,False,1.0,1.0,0.0,-0.0,0.8970907785572267,-0.8970907785572267,waferagent_latency_beneficial
132,test,11,534,587,1690,32,8.0,True,1.0,1.0,0.0,0.958675439506348,-1.0132391245503838,-0.9989343119074096,waferagent_latency_beneficial
133,test,66,329,81,429,2,32.0,True,1.0,1.0,0.0,1.0,0.959888783582992,-0.959888783582992,waferagent_latency_beneficial
134,test,122,442,937,486,8,4.0,True,1.0,1.0,0.0,0.9986894419719422,-0.1839136316694271,-0.9928443878606344,waferagent_latency_beneficial
135,test,7,19240,109,1229,8,2.0,True,1.0,1.0,0.3636111111112491,0.9999193323007725,-0.33253373639774886,-0.9996737365977724,waferagent_latency_beneficial
136,test,99,1046,365,213,4,2.0,False,1.0,1.0,0.4143750000066775,-0.0,0.987783359899396,-0.9877837615940465,waferagent_latency_beneficial
137,test,44,18705,174,197,16,2.0,False,1.0,1.0,0.0,0.9424925335715849,-1.739997202395617,0.0,low_reuse_apc_better
138,test,12,1556,4023,83,2,32.0,True,1.0,1.0,0.255000000007089,1.0,0.9459087853478078,-0.9459087853478078,waferagent_latency_beneficial
139,test,87,4395,291,44,32,16.0,True,1.0,1.0,0.0,0.9158372610639095,-1.0806973155102853,0.0,low_reuse_apc_better
140,test,77,2233,182,966,2,16.0,True,1.0,1.0,0.26916666666711464,1.0,0.9963790740339381,-0.9963790893113328,waferagent_latency_beneficial
141,test,58,1549,123,21,32,32.0,True,1.0,1.0,0.4108333333560057,0.9995269663740668,-0.8579551477317707,-0.9971981701770309,waferagent_latency_beneficial
142,test,45,10688,2282,118,16,16.0,True,1.0,1.0,0.0,0.9608604584656844,-0.3525468316369198,0.0,low_reuse_apc_better
143,test,55,11762,566,701,2,1.0,True,1.0,1.0,0.2691666666668425,1.0,0.998627855299255,-0.9986278522726844,waferagent_latency_beneficial
144,test,57,11521,4091,539,16,4.0,True,1.0,1.0,0.0,0.9492624693113342,-0.35382953386337535,0.0,low_reuse_apc_better
145,test,53,10483,82,118,8,16.0,False,1.0,1.0,0.41968750000060906,0.9990389707336681,-1.791323884382917,-0.9882930910207304,waferagent_latency_beneficial
146,test,92,10157,946,143,8,2.0,True,1.0,1.0,0.3730555555573999,0.9993865180526424,-0.2635103924910387,-0.9975313472611456,waferagent_latency_beneficial
147,test,59,9476,1467,74,4,4.0,True,1.0,1.0,0.33150000000084867,1.0,0.995083428865871,-0.9950833588264331,waferagent_latency_beneficial
148,test,120,33197,75,151,8,32.0,True,1.0,1.0,0.3730555555559564,0.9993180352050223,-0.332593089358403,-0.9838607773771852,waferagent_latency_beneficial
149,test,31,6901,2611,1392,2,1.0,False,1.0,1.0,0.4037500000002263,1.0,0.9980485401006828,-0.998048536012617,waferagent_latency_beneficial
150,test,128,32671,96,1021,2,32.0,True,1.0,1.0,0.2691666666667246,1.0,0.9994880097796398,-0.9994880087068142,waferagent_latency_beneficial
151,test,23,3250,378,61,2,16.0,False,1.0,1.0,0.40375000001827976,-0.0,0.9548704346172455,-0.9548738695016593,waferagent_latency_beneficial
152,test,88,4083,4023,1890,8,32.0,True,1.0,1.0,0.3730555555555556,0.9994406320609104,-0.33273103581104785,-0.9996473715863545,waferagent_latency_beneficial
153,test,32,22880,197,279,32,16.0,True,1.0,1.0,0.0,0.9225693238570147,-1.0381945688237113,0.0,low_reuse_apc_better
154,test,55,523,2582,553,4,4.0,True,1.0,1.0,0.0,1.0,0.9869693645712334,-0.9869693645712334,waferagent_latency_beneficial
155,test,52,1462,410,27,2,4.0,False,1.0,1.0,0.40375000001836125,-0.0,0.8992796770010293,-0.899296316315172,waferagent_latency_beneficial
156,test,62,26057,181,422,2,4.0,False,1.0,1.0,0.4037500000000659,1.0,0.9975724334247021,-0.9975724094701327,waferagent_latency_beneficial
157,test,8,4754,2033,371,2,4.0,False,1.0,1.0,0.36125000000036767,1.0,0.9919559648070346,-0.9919559648070346,waferagent_latency_beneficial
158,test,30,1019,77,1064,4,4.0,False,1.0,1.0,0.0,-0.0,0.9966301778185346,-0.9966301778185346,waferagent_latency_beneficial
159,test,24,63865,948,105,32,2.0,True,1.0,1.0,0.0,0.916319145340688,-1.068713470309491,0.0,low_reuse_apc_better
