config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,baseline,jct_p99_ms,mesh_total_traffic_bytes
22,train,49,3096,3954,106,2,4.0,True,1.0,1.0,pat_like_traffic_only,2523.1590124212794,1690477158488.0
22,train,49,3096,3954,106,2,4.0,True,1.0,1.0,pat_like_global_orchestrator,64.01952054863155,0.0
22,train,49,3096,3954,106,2,4.0,True,1.0,1.0,waferagent_adaptive,61.548576702208656,0.0
23,train,36,583,80,96,4,2.0,True,1.0,1.0,apc_like,1063.057547195348,1467167846400.0
23,train,36,583,80,96,4,2.0,True,1.0,1.0,apc_like_global_orchestrator,37.72288240454424,0.0
23,train,36,583,80,96,4,2.0,True,1.0,1.0,pat_like_traffic_only,1065.2575471953478,1467167846400.0
23,train,36,583,80,96,4,2.0,True,1.0,1.0,pat_like_global_orchestrator,39.92288240454424,0.0
23,train,36,583,80,96,4,2.0,True,1.0,1.0,waferagent_adaptive,37.72288240454424,0.0
24,train,78,7261,215,86,2,4.0,True,1.0,1.0,apc_like,5049.205403499912,4992836608320.0
24,train,78,7261,215,86,2,4.0,True,1.0,1.0,apc_like_global_orchestrator,64.07948422184928,0.0
24,train,78,7261,215,86,2,4.0,True,1.0,1.0,pat_like_traffic_only,5497.128004548954,4550860723312.0
24,train,78,7261,215,86,2,4.0,True,1.0,1.0,pat_like_global_orchestrator,66.55408519276165,0.0
24,train,78,7261,215,86,2,4.0,True,1.0,1.0,waferagent_adaptive,64.08051782405718,0.0
25,train,114,6571,724,132,8,16.0,True,1.0,1.0,apc_like,34513.811369635914,82709182310400.0
25,train,114,6571,724,132,8,16.0,True,1.0,1.0,apc_like_global_orchestrator,45901.03913496806,4594954572800.0
25,train,114,6571,724,132,8,16.0,True,1.0,1.0,pat_like_traffic_only,36725.22799836533,74455420240260.0
25,train,114,6571,724,132,8,16.0,True,1.0,1.0,pat_like_global_orchestrator,45901.05507115414,4594954572800.0
25,train,114,6571,724,132,8,16.0,True,1.0,1.0,waferagent_adaptive,131.84069167111767,47427261440.0
26,train,34,54758,79,36,32,32.0,False,1.0,1.0,apc_like,168796.0013761475,2700206848081920.0
26,train,34,54758,79,36,32,32.0,False,1.0,1.0,apc_like_global_orchestrator,679942.9107462069,239534478458880.0
26,train,34,54758,79,36,32,32.0,False,1.0,1.0,pat_like_traffic_only,168796.20137614754,2671436161508914.0
26,train,34,54758,79,36,32,32.0,False,1.0,1.0,pat_like_global_orchestrator,679942.9127282877,239534478458880.0
26,train,34,54758,79,36,32,32.0,False,1.0,1.0,waferagent_adaptive,602428.7095254061,211112605777920.0
27,train,2,36517,2845,437,2,8.0,True,1.0,1.0,apc_like,126129.73649304839,126040410895200.0
27,train,2,36517,2845,437,2,8.0,True,1.0,1.0,apc_like_global_orchestrator,144.36249959163916,0.0
27,train,2,36517,2845,437,2,8.0,True,1.0,1.0,pat_like_traffic_only,126131.93649304839,126040410895200.0
27,train,2,36517,2845,437,2,8.0,True,1.0,1.0,pat_like_global_orchestrator,146.5624995916392,0.0
27,train,2,36517,2845,437,2,8.0,True,1.0,1.0,waferagent_adaptive,144.36249959163916,0.0
28,train,19,1734,1796,45,4,32.0,False,0.95,1.0,apc_like,628.665158086904,1227305779200.0
28,train,19,1734,1796,45,4,32.0,False,0.95,1.0,apc_like_global_orchestrator,23.423788006903646,0.0
28,train,19,1734,1796,45,4,32.0,False,0.95,1.0,pat_like_traffic_only,250.2371081665155,23523360768.0
28,train,19,1734,1796,45,4,32.0,False,0.95,1.0,pat_like_global_orchestrator,23.62378800690364,0.0
28,train,19,1734,1796,45,4,32.0,False,0.95,1.0,waferagent_adaptive,23.423788006903646,0.0
29,train,113,755,328,21,32,1.0,False,1.0,1.0,apc_like,1354.7927539208874,21541473484800.0
29,train,113,755,328,21,32,1.0,False,1.0,1.0,apc_like_global_orchestrator,752.6373700827852,1828768972800.0
29,train,113,755,328,21,32,1.0,False,1.0,1.0,pat_like_traffic_only,1354.9927539208863,21541473484800.0
29,train,113,755,328,21,32,1.0,False,1.0,1.0,pat_like_global_orchestrator,752.8373700827859,1828768972800.0
29,train,113,755,328,21,32,1.0,False,1.0,1.0,waferagent_adaptive,1354.7927539208874,21541473484800.0
30,train,36,47664,1510,97,16,4.0,False,1.0,1.0,apc_like,185429.36518238805,1483097505792000.0
30,train,36,47664,1510,97,16,4.0,False,1.0,1.0,apc_like_global_orchestrator,512977.5433076452,86514021171200.0
30,train,36,47664,1510,97,16,4.0,False,1.0,1.0,pat_like_traffic_only,185429.56518238803,1423436871421102.0
30,train,36,47664,1510,97,16,4.0,False,1.0,1.0,pat_like_global_orchestrator,512977.54330764513,86514021171200.0
30,train,36,47664,1510,97,16,4.0,False,1.0,1.0,waferagent_adaptive,185429.36518238805,1483097505792000.0
31,train,77,1087,302,1470,4,32.0,False,1.0,1.0,apc_like,12595.381377710764,25132636569600.0
31,train,77,1087,302,1470,4,32.0,False,1.0,1.0,apc_like_global_orchestrator,32.437757046359934,0.0
