prefix_tokens,query_tile_size,num_shards,dtype,independent_attention_ms,query_tiled_attention_ms,blockwise_partial_attention_ms,merge_ms,device
8192,2,4,bf16_storage_fp32_accum,2.4869628250598907,2.4869628250598907,9.877482429146767,7.390519604086876,NVIDIA H100 PCIe
8192,2,8,bf16_storage_fp32_accum,2.484600991010666,2.484600991010666,19.7400264441967,17.255425453186035,NVIDIA H100 PCIe
8192,4,1,bf16_storage_fp32_accum,2.491375431418419,2.491375431418419,2.469935454428196,0.0,NVIDIA H100 PCIe
8192,4,2,bf16_storage_fp32_accum,2.4879733100533485,2.4879733100533485,4.932945594191551,2.4449722841382027,NVIDIA H100 PCIe
8192,4,4,bf16_storage_fp32_accum,2.4885516613721848,2.4885516613721848,9.884466417133808,7.395914755761623,NVIDIA H100 PCIe
8192,4,8,bf16_storage_fp32_accum,2.487787976861,2.487787976861,19.753463566303253,17.265675589442253,NVIDIA H100 PCIe
8192,8,1,bf16_storage_fp32_accum,2.4922601878643036,2.4922601878643036,2.4775108322501183,0.0,NVIDIA H100 PCIe
8192,8,2,bf16_storage_fp32_accum,2.4908725172281265,2.4908725172281265,4.932291805744171,2.4414192885160446,NVIDIA H100 PCIe
8192,8,4,bf16_storage_fp32_accum,2.4899905547499657,2.4899905547499657,9.86203271895647,7.372042164206505,NVIDIA H100 PCIe
8192,8,8,bf16_storage_fp32_accum,2.4918243288993835,2.4918243288993835,19.757352769374847,17.265528440475464,NVIDIA H100 PCIe
8192,16,1,bf16_storage_fp32_accum,2.4898871779441833,2.4898871779441833,2.4791527539491653,0.0,NVIDIA H100 PCIe
8192,16,2,bf16_storage_fp32_accum,2.4922527372837067,2.4922527372837067,4.945944994688034,2.4536922574043274,NVIDIA H100 PCIe
8192,16,4,bf16_storage_fp32_accum,2.493704669177532,2.493704669177532,9.868734516203403,7.375029847025871,NVIDIA H100 PCIe
8192,16,8,bf16_storage_fp32_accum,2.4936841800808907,2.4936841800808907,19.74040735512972,17.246723175048828,NVIDIA H100 PCIe
