reuse_group_size,shared_prefix_tokens,decode_tokens,arrival_rate_jobs_per_s,cross_job_prefix_hit_rate_observed,shared_kv_read_reduction_ratio,waferagent_vs_apc_jct_p99_delta_pct,apc_like_jct_p99_ms,waferagent_jct_p99_ms,regime_label
2,512,512,4.0,0.029411764705882353,0.18020289855092209,4.924155581866226,289304.18387216376,1713882.995743532,traffic_reduction_only
2,512,512,8.0,0.029411764705882353,0.18020289855092209,4.925413710062284,289304.1838721637,1714246.977494499,traffic_reduction_only
2,512,512,16.0,0.029411764705882353,0.18020289855092209,4.9258592220338615,289304.1838721637,1714375.8659718414,traffic_reduction_only
2,2048,32,2.0,0.029411764705882353,0.18020060857507603,5.007307121929079,308607.7882593075,1853901.7642929193,traffic_reduction_only
2,2048,32,4.0,0.029411764705882353,0.18020060857507603,4.924557819904638,308607.7882593075,1828364.6852151547,traffic_reduction_only
2,2048,32,8.0,0.029411764705882353,0.18020060857507603,4.92569947496563,308607.7882593075,1828717.008858483,traffic_reduction_only
2,2048,32,16.0,0.029411764705882353,0.18020060857507603,4.926110571081688,308607.7882593075,1828843.8763216212,traffic_reduction_only
2,2048,128,2.0,0.029411764705882353,0.18020060857507603,5.007307121929079,308607.7882593075,1853901.7642929193,traffic_reduction_only
2,2048,128,4.0,0.029411764705882353,0.18020060857507603,4.924557819904638,308607.7882593075,1828364.6852151547,traffic_reduction_only
2,2048,128,8.0,0.029411764705882353,0.18020060857507603,4.92569947496563,308607.7882593075,1828717.008858483,traffic_reduction_only
2,2048,128,16.0,0.029411764705882353,0.18020060857507603,4.926110571081688,308607.7882593075,1828843.8763216212,traffic_reduction_only
2,2048,512,2.0,0.029411764705882353,0.18020060857507603,5.007307121929079,308607.7882593075,1853901.7642929193,traffic_reduction_only
2,2048,512,4.0,0.029411764705882353,0.18020060857507603,4.924557819904638,308607.7882593075,1828364.6852151547,traffic_reduction_only
2,2048,512,8.0,0.029411764705882353,0.18020060857507603,4.92569947496563,308607.7882593075,1828717.008858483,traffic_reduction_only
2,2048,512,16.0,0.029411764705882353,0.18020060857507603,4.926110571081688,308607.7882593075,1828843.8763216212,traffic_reduction_only
2,8192,32,2.0,0.029411764705882353,0.18023811027204717,5.021243317874879,382633.93847408245,2303932.0452292166,traffic_reduction_only
2,8192,32,4.0,0.029411764705882353,0.18023811027204717,4.964033683856415,382633.93847408245,2282041.6976460707,traffic_reduction_only
2,8192,32,8.0,0.029411764705882353,0.18073212417044504,4.936095389300829,382633.93847408245,2271351.5579660176,traffic_reduction_only
2,8192,32,16.0,0.029411764705882353,0.18023811027204717,4.965183212145673,382633.93847408245,2282481.546182777,traffic_reduction_only
2,8192,128,2.0,0.029411764705882353,0.18023811027204717,5.021243317874879,382633.93847408245,2303932.0452292166,traffic_reduction_only
2,8192,128,4.0,0.029411764705882353,0.18023811027204717,4.964033683856415,382633.93847408245,2282041.6976460707,traffic_reduction_only
2,8192,128,8.0,0.029411764705882353,0.18073212417044504,4.936095389300829,382633.93847408245,2271351.5579660176,traffic_reduction_only
2,8192,128,16.0,0.029411764705882353,0.18023811027204717,4.965183212145673,382633.93847408245,2282481.546182777,traffic_reduction_only
2,8192,512,2.0,0.029411764705882353,0.18023811027204717,5.021243317874879,382633.93847408245,2303932.0452292166,traffic_reduction_only
2,8192,512,4.0,0.029411764705882353,0.18023811027204717,4.964033683856415,382633.93847408245,2282041.6976460707,traffic_reduction_only
2,8192,512,8.0,0.029411764705882353,0.18073212417044504,4.936095389300829,382633.93847408245,2271351.5579660176,traffic_reduction_only
2,8192,512,16.0,0.029411764705882353,0.18023811027204717,4.965183212145673,382633.93847408245,2282481.546182777,traffic_reduction_only
2,32768,32,2.0,0.029411764705882353,0.1105647218277449,5.129722588942414,1379487.9528129944,8455878.465531738,traffic_reduction_only
2,32768,32,4.0,0.029411764705882353,0.09417006313101817,5.51396902867797,1379487.9528129944,8985941.800058221,traffic_reduction_only
2,32768,32,8.0,0.029411764705882353,0.10186715881336739,5.420724536146842,1379487.9528129944,8857312.14594537,traffic_reduction_only
2,32768,32,16.0,0.029411764705882353,0.10905480222531494,5.451136413237701,1379487.9528129944,8899264.964014638,traffic_reduction_only
2,32768,128,2.0,0.029411764705882353,0.1105647218277449,5.129722588942414,1379487.9528129944,8455878.465531738,traffic_reduction_only
2,32768,128,4.0,0.029411764705882353,0.09417006313101817,5.51396902867797,1379487.9528129944,8985941.800058221,traffic_reduction_only
2,32768,128,8.0,0.029411764705882353,0.10186715881336739,5.420724536146842,1379487.9528129944,8857312.14594537,traffic_reduction_only
2,32768,128,16.0,0.029411764705882353,0.10905480222531494,5.451136413237701,1379487.9528129944,8899264.964014638,traffic_reduction_only
2,32768,512,2.0,0.029411764705882353,0.1105647218277449,5.129722588942414,1379487.9528129944,8455878.465531738,traffic_reduction_only
