policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
asg-retention-v2-online,heuristic,heuristic,2,0.5,718733000,,,5.787962984863642e-07,330623,0,0,2,319,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,196583000,0,0,0,0,0,0,0,1756,1049,"{""agent_role"": 2, ""assistant_delta"": 3, ""edit_diff"": 2, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",,False
asg-retention-v2-oracle,oracle,oracle,2,0.5,718733000,,,5.787962984863642e-07,330623,0,0,2,290,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,196583000,0,0,0,0,0,0,0,1701,1104,"{""agent_role"": 1, ""assistant_delta"": 4, ""edit_diff"": 2, ""file_context"": 2, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 2, ""tool_observation"": 2}",,False
asg-placement-v2-online,heuristic,heuristic,2,0.5,721161938,,,5.76846860711609e-07,330623,0,0,2,319,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,165970032,7671417,17289969664,106954752,0,0,0,0,1788,1017,"{""agent_role"": 2, ""assistant_delta"": 3, ""edit_diff"": 2, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",,False
asg-prefetch-v2-online,heuristic,heuristic,2,0.5,721980723,,,5.761926693436107e-07,330623,0,0,2,319,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,138409950,22953626,20464009216,31457280,14828961792,37341352,20586256,222,1777,1028,"{""agent_role"": 2, ""assistant_delta"": 3, ""edit_diff"": 2, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",,False
lru-system,none,none,4,0.5,718733000,,,5.787962984863642e-07,330623,0,0,2,290,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,196583000,0,0,0,0,0,0,0,1759,1046,"{""agent_role"": 3, ""assistant_delta"": 6, ""edit_diff"": 2, ""file_context"": 3, ""system_prefix"": 3, ""task_prefix"": 2, ""test_failure_summary"": 2, ""tool_observation"": 2}",,False
kvflow-like,none,none,4,0.5,727663000,,,5.716932151284317e-07,397897,35270950912,1314,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.08904696056704331,0.5315508021390374,213606000,0,0,0,0,0,0,0,1226,265,"{""agent_role"": 21, ""system_prefix"": 21, ""task_prefix"": 20}",,False
asg-retention-v2-online,heuristic,heuristic,4,0.5,718733000,,,5.787962984863642e-07,330623,0,0,3,450,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,196583000,0,0,0,0,0,0,0,1856,949,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 2, ""file_context"": 2, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 3, ""tool_observation"": 1}",,False
asg-retention-v2-oracle,oracle,oracle,4,0.5,718733000,,,5.787962984863642e-07,330623,0,0,2,290,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,196583000,0,0,0,0,0,0,0,1831,974,"{""agent_role"": 1, ""assistant_delta"": 5, ""edit_diff"": 2, ""file_context"": 2, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 2, ""tool_observation"": 2}",,False
asg-placement-v2-online,heuristic,heuristic,4,0.5,721022073,,,5.769587583763195e-07,330623,0,0,3,450,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,163080593,6583603,16860053504,18874368,0,0,0,0,1867,938,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 2, ""file_context"": 2, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 3, ""tool_observation"": 1}",,False
asg-prefetch-v2-online,heuristic,heuristic,4,0.5,720278052,,,5.775547357647377e-07,330623,0,0,3,450,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,130991952,31082876,20953694208,0,15854469120,36162547,25771961,265,1819,986,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 2, ""file_context"": 2, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 3, ""tool_observation"": 1}",,False
lru-system,none,none,8,0.5,718733000,,,5.787962984863642e-07,330623,0,0,2,290,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,196583000,0,0,0,0,0,0,0,1695,1110,"{""agent_role"": 3, ""assistant_delta"": 6, ""edit_diff"": 2, ""file_context"": 3, ""system_prefix"": 3, ""task_prefix"": 2, ""test_failure_summary"": 2, ""tool_observation"": 2}",,False
kvflow-like,none,none,8,0.5,731903000,,,5.683813292198556e-07,409622,41418227712,1457,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.062203520210992846,0.4805704099821747,210222000,0,0,0,0,0,0,0,1154,194,"{""agent_role"": 21, ""system_prefix"": 21, ""task_prefix"": 20}",,False
asg-retention-v2-online,heuristic,heuristic,8,0.5,718733000,,,5.787962984863642e-07,330623,0,0,3,450,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,196583000,0,0,0,0,0,0,0,1815,990,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 2, ""file_context"": 2, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 3, ""tool_observation"": 1}",,False
