mode,shared_prefix_tokens,private_tokens,num_agents,heads,head_dim,device,dtype,exact_merge,latency_ms,memory_bytes_estimated,oom,independent_latency_ms,independent_memory_bytes,latency_speedup,read_byte_reduction_ratio,reps
split_shared_private_merge,2048,1024,2,28,128,cuda:1,float16,True,2.6959911920130253,58720256.0,0,2.7219243347644806,58720256.0,1.0096191496575668,0.0,10
split_shared_private_merge,2048,1024,4,28,128,cuda:1,float16,True,2.7691838331520557,88080384.0,0,2.855527214705944,117440512.0,1.0311800829255915,0.25,10
split_shared_private_merge,2048,1024,8,28,128,cuda:1,float16,True,2.810114063322544,146800640.0,0,3.0655241571366787,234881024.0,1.090889582436433,0.375,10
split_shared_private_merge,2048,1024,16,28,128,cuda:1,float16,True,2.853712532669306,264241152.0,0,3.3378652296960354,469762048.0,1.1696571366191053,0.4375,10
split_shared_private_merge,8192,64,1,28,128,cuda:1,float16,True,2.7418299578130245,118358016.0,0,2.7554826810956,117440512.0,1.0049794201291262,-0.0078125,10
split_shared_private_merge,8192,64,2,28,128,cuda:1,float16,True,2.7888724580407143,119275520.0,0,2.8615216724574566,234881024.0,1.0260496725862398,0.4921875,10
split_shared_private_merge,8192,64,4,28,128,cuda:1,float16,True,2.7410341426730156,121110528.0,0,3.0328859575092793,469762048.0,1.1064750746051102,0.7421875,10
split_shared_private_merge,8192,64,8,28,128,cuda:1,float16,True,2.7824025601148605,124780544.0,0,3.459249623119831,939524096.0,1.2432599339532773,0.8671875,10
split_shared_private_merge,8192,64,16,28,128,cuda:1,float16,True,2.875017002224922,132120576.0,0,4.406490828841925,1879048192.0,1.5326833981961927,0.9296875,10
split_shared_private_merge,8192,256,1,28,128,cuda:1,float16,True,2.9482971876859665,121110528.0,0,2.7265078388154507,117440512.0,0.9247737474373837,-0.03125,10
split_shared_private_merge,8192,256,2,28,128,cuda:1,float16,True,2.961045131087303,124780544.0,0,3.112108912318945,234881024.0,1.0510170478813914,0.46875,10
split_shared_private_merge,8192,256,4,28,128,cuda:1,float16,True,3.002429846674204,132120576.0,0,3.026464022696018,469762048.0,1.0080049084405542,0.71875,10
split_shared_private_merge,8192,256,8,28,128,cuda:1,float16,True,2.8512105345726013,146800640.0,0,3.5148118622601032,939524096.0,1.2327437134651917,0.84375,10
split_shared_private_merge,8192,256,16,28,128,cuda:1,float16,True,2.9050614684820175,176160768.0,0,4.431325010955334,1879048192.0,1.525380808300361,0.90625,10
split_shared_private_merge,8192,1024,1,28,128,cuda:1,float16,True,2.832817379385233,132120576.0,0,2.8107883408665657,117440512.0,0.9922236291407363,-0.125,10
