baseline,wave_id,time,operator_id,state_id,region_id,policy_before,policy_after,dynamic_hotness_before,dynamic_hotness_after,materialization_bytes,movement_byte_hop,cache_hit,workflow
kvflow_like_future_eviction,0,0.0,O_expert_2,S_rubric,R_15_0,replicate,replicate,1167.1780156087952,1108.665710145717,0,0,True,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_2,S_unique_expert_2,R_15_0,inline,inline,335.16945,360.6601425,1632,1632,False,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_3,S_task,R_15_15,replicate,replicate,1108.665710145717,1070.632711594716,0,0,True,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_3,S_document,R_15_15,replicate,replicate,999.7211608332873,999.8187545416367,0,0,True,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_3,S_rubric,R_15_15,replicate,replicate,1108.665710145717,1070.632711594716,0,0,True,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_3,S_unique_expert_3,R_15_15,inline,inline,253.84156874999996,273.14701968749995,1236,1236,False,mapreduce
kvflow_like_future_eviction,1,6.94000320284875,O_summarizer,S_task,R_0_0,replicate,replicate,1070.632711594716,1395.9112625365656,0,0,True,mapreduce
kvflow_like_future_eviction,1,6.94000320284875,O_summarizer,S_rubric,R_0_0,replicate,replicate,1070.632711594716,1395.9112625365656,0,0,True,mapreduce
kvflow_like_future_eviction,1,6.94000320284875,O_summarizer,S_expert_0_summary,R_0_0,inline,inline,341.7414,367.73190999999997,832,832,False,mapreduce
kvflow_like_future_eviction,1,6.94000320284875,O_summarizer,S_expert_1_summary,R_0_0,inline,inline,468.2514375,503.863434375,1140,1140,False,mapreduce
kvflow_like_future_eviction,1,6.94000320284875,O_summarizer,S_expert_2_summary,R_0_0,inline,inline,369.67218750000006,397.7869218750001,900,900,False,mapreduce
kvflow_like_future_eviction,1,6.94000320284875,O_summarizer,S_expert_3_summary,R_0_0,inline,inline,356.5282874999999,383.6433868749999,868,868,False,mapreduce
wafer_request_centric,0,0.0,O_expert_0,S_task,R_0_0,replicate,replicate,1395.9112625365656,1257.3423206487678,4000,14336000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_0,S_document,R_0_0,replicate,replicate,999.8187545416367,999.8821904520639,4000,14336000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_0,S_rubric,R_0_0,replicate,replicate,1395.9112625365656,1257.3423206487678,4000,14336000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_0,S_unique_expert_0,R_0_0,inline,inline,393.36706718749997,411.43859367187497,1780,6379520,False,mapreduce
wafer_request_centric,0,0.0,O_expert_1,S_task,R_0_15,replicate,replicate,1257.3423206487678,1167.272508421699,4000,15360000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_1,S_document,R_0_15,replicate,replicate,999.8821904520639,999.9234237938416,4000,15360000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_1,S_rubric,R_0_15,replicate,replicate,1257.3423206487678,1167.272508421699,4000,15360000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_1,S_unique_expert_1,R_0_15,inline,inline,350.05249125,366.1341193125,1584,6082560,False,mapreduce
wafer_request_centric,0,0.0,O_expert_2,S_task,R_15_0,replicate,replicate,1167.272508421699,1108.7271304741043,4000,15360000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_2,S_document,R_15_0,replicate,replicate,999.9234237938416,999.950225465997,4000,15360000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_2,S_rubric,R_15_0,replicate,replicate,1167.272508421699,1108.7271304741043,4000,15360000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_2,S_unique_expert_2,R_15_0,inline,inline,360.6601425,377.229092625,1632,6266880,False,mapreduce
wafer_request_centric,0,0.0,O_expert_3,S_task,R_15_15,replicate,replicate,1108.7271304741043,1070.672634808168,4000,16384000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_3,S_document,R_15_15,replicate,replicate,999.950225465997,999.9676465528981,4000,16384000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_3,S_rubric,R_15_15,replicate,replicate,1108.7271304741043,1070.672634808168,4000,16384000,False,mapreduce
wafer_request_centric,0,0.0,O_expert_3,S_unique_expert_3,R_15_15,inline,inline,273.14701968749995,285.695562796875,1236,5062656,False,mapreduce
wafer_request_centric,1,6.940035717440001,O_summarizer,S_task,R_0_0,replicate,replicate,1070.672634808168,1395.9372126253093,0,14336000,True,mapreduce
wafer_request_centric,1,6.940035717440001,O_summarizer,S_rubric,R_0_0,replicate,replicate,1070.672634808168,1395.9372126253093,0,14336000,True,mapreduce
wafer_request_centric,1,6.940035717440001,O_summarizer,S_expert_0_summary,R_0_0,inline,inline,367.73190999999997,384.6257415,832,0,False,mapreduce
wafer_request_centric,1,6.940035717440001,O_summarizer,S_expert_1_summary,R_0_0,inline,inline,503.863434375,527.01123234375,1140,0,False,mapreduce
wafer_request_centric,1,6.940035717440001,O_summarizer,S_expert_2_summary,R_0_0,inline,inline,397.7869218750001,416.06149921875004,900,0,False,mapreduce
wafer_request_centric,1,6.940035717440001,O_summarizer,S_expert_3_summary,R_0_0,inline,inline,383.6433868749999,401.2682014687499,868,0,False,mapreduce
replicate_all_hot_states,0,0.0,O_expert_0,S_task,R_0_0,replicate,replicate,1395.9372126253093,1257.359188206451,4000,0,False,mapreduce
replicate_all_hot_states,0,0.0,O_expert_0,S_document,R_0_0,replicate,replicate,999.9676465528981,999.9789702593838,4000,0,False,mapreduce
replicate_all_hot_states,0,0.0,O_expert_0,S_rubric,R_0_0,replicate,replicate,1395.9372126253093,1257.359188206451,4000,0,False,mapreduce
replicate_all_hot_states,0,0.0,O_expert_0,S_unique_expert_0,R_0_0,inline,inline,411.43859367187497,423.18508588671875,1780,6379520,False,mapreduce
replicate_all_hot_states,0,0.0,O_expert_1,S_task,R_0_15,replicate,replicate,1257.359188206451,1167.2834723341932,0,0,True,mapreduce
replicate_all_hot_states,0,0.0,O_expert_1,S_document,R_0_15,replicate,replicate,999.9789702593838,999.9863306685995,0,0,True,mapreduce
replicate_all_hot_states,0,0.0,O_expert_1,S_rubric,R_0_15,replicate,replicate,1257.359188206451,1167.2834723341932,0,0,True,mapreduce
replicate_all_hot_states,0,0.0,O_expert_1,S_unique_expert_1,R_0_15,inline,inline,366.1341193125,376.587177553125,1584,6082560,False,mapreduce
replicate_all_hot_states,0,0.0,O_expert_2,S_task,R_15_0,replicate,replicate,1167.2834723341932,1108.7342570172257,0,0,True,mapreduce
replicate_all_hot_states,0,0.0,O_expert_2,S_document,R_15_0,replicate,replicate,999.9863306685995,999.9911149345897,0,0,True,mapreduce
replicate_all_hot_states,0,0.0,O_expert_2,S_rubric,R_15_0,replicate,replicate,1167.2834723341932,1108.7342570172257,0,0,True,mapreduce
replicate_all_hot_states,0,0.0,O_expert_2,S_unique_expert_2,R_15_0,inline,inline,377.229092625,387.99891020625,1632,6266880,False,mapreduce
replicate_all_hot_states,0,0.0,O_expert_3,S_task,R_15_15,replicate,replicate,1108.7342570172257,1070.6772670611967,0,0,True,mapreduce
replicate_all_hot_states,0,0.0,O_expert_3,S_document,R_15_15,replicate,replicate,999.9911149345897,999.9942247074833,0,0,True,mapreduce
replicate_all_hot_states,0,0.0,O_expert_3,S_rubric,R_15_15,replicate,replicate,1108.7342570172257,1070.6772670611967,0,0,True,mapreduce
replicate_all_hot_states,0,0.0,O_expert_3,S_unique_expert_3,R_15_15,inline,inline,285.695562796875,293.85211581796875,1236,5062656,False,mapreduce
replicate_all_hot_states,1,6.940006917440001,O_summarizer,S_task,R_0_0,replicate,replicate,1070.6772670611967,1395.9402235897778,0,0,True,mapreduce
replicate_all_hot_states,1,6.940006917440001,O_summarizer,S_rubric,R_0_0,replicate,replicate,1070.6772670611967,1395.9402235897778,0,0,True,mapreduce
replicate_all_hot_states,1,6.940006917440001,O_summarizer,S_expert_0_summary,R_0_0,inline,inline,384.6257415,395.606731975,832,0,False,mapreduce
replicate_all_hot_states,1,6.940006917440001,O_summarizer,S_expert_1_summary,R_0_0,inline,inline,527.01123234375,542.0573010234375,1140,0,False,mapreduce
replicate_all_hot_states,1,6.940006917440001,O_summarizer,S_expert_2_summary,R_0_0,inline,inline,416.06149921875004,427.93997449218756,900,0,False,mapreduce
replicate_all_hot_states,1,6.940006917440001,O_summarizer,S_expert_3_summary,R_0_0,inline,inline,401.2682014687499,412.72433095468745,868,0,False,mapreduce
single_pin_hot_state,0,0.0,O_expert_0,S_task,R_0_0,replicate,replicate,1395.9402235897778,1257.3611453333556,4000,14336000,False,mapreduce
single_pin_hot_state,0,0.0,O_expert_0,S_document,R_0_0,replicate,replicate,999.9942247074833,999.9962460598642,4000,14336000,False,mapreduce
single_pin_hot_state,0,0.0,O_expert_0,S_rubric,R_0_0,replicate,replicate,1395.9402235897778,1257.3611453333556,4000,14336000,False,mapreduce
single_pin_hot_state,0,0.0,O_expert_0,S_unique_expert_0,R_0_0,inline,inline,423.18508588671875,430.8203058263672,1780,6379520,False,mapreduce
single_pin_hot_state,0,0.0,O_expert_1,S_task,R_0_15,replicate,replicate,1257.3611453333556,1167.284744466681,0,15360000,True,mapreduce
single_pin_hot_state,0,0.0,O_expert_1,S_document,R_0_15,replicate,replicate,999.9962460598642,999.9975599389118,0,15360000,True,mapreduce
single_pin_hot_state,0,0.0,O_expert_1,S_rubric,R_0_15,replicate,replicate,1257.3611453333556,1167.284744466681,0,15360000,True,mapreduce
single_pin_hot_state,0,0.0,O_expert_1,S_unique_expert_1,R_0_15,inline,inline,376.587177553125,383.38166540953125,1584,6082560,False,mapreduce
single_pin_hot_state,0,0.0,O_expert_2,S_task,R_15_0,replicate,replicate,1167.284744466681,1108.735083903343,0,15360000,True,mapreduce
single_pin_hot_state,0,0.0,O_expert_2,S_document,R_15_0,replicate,replicate,999.9975599389118,999.9984139602926,0,15360000,True,mapreduce
